Tdiff	run	gen	p1m_in_p3	p2m_in_p3	p1f_in_p3	p2f_in_p3
100	641774310	100212	0.0	1.0	0.649254	0.350746
100	641774310	100213	0.0	1.0	0.611765	0.388235
100	641774310	100214	0.0	1.0	0.623016	0.376984
100	641774310	100215	0.0	1.0	0.631373	0.368627
100	641774310	100216	0.0	1.0	0.628458	0.371542
100	641774310	100217	0.0	1.0	0.628205	0.371795
100	641774310	100218	0.0	1.0	0.656489	0.343511
100	641774310	100219	0.0	1.0	0.607143	0.392857
100	641774310	100220	0.0	1.0	0.571429	0.428571
100	641774310	100221	0.0	1.0	0.527344	0.472656
100	641774310	100222	0.0	1.0	0.547244	0.452756
100	641774310	100223	0.0	1.0	0.5	0.5
100	641774310	100224	0.0	1.0	0.556017	0.443983
100	641774310	100225	0.0	1.0	0.605364	0.394636
100	641774310	100226	0.0	1.0	0.554656	0.445344
100	641774310	100227	0.0	1.0	0.566116	0.433884
100	641774310	100228	0.0	1.0	0.578947	0.421053
100	641774310	100229	0.0	1.0	0.545455	0.454545
100	641774310	100230	0.0	1.0	0.5625	0.4375
100	641774310	100231	0.0	1.0	0.616327	0.383673
100	641774310	100232	0.0	1.0	0.6875	0.3125
100	641774310	100233	0.0	1.0	0.664032	0.335968
100	641774310	100234	0.0	1.0	0.655602	0.344398
100	641774310	100235	0.0	1.0	0.698795	0.301205
100	641774310	100236	0.0	1.0	0.699219	0.300781
100	641774310	100237	0.0	1.0	0.724138	0.275862
100	641774310	100238	0.0	1.0	0.717647	0.282353
100	641774310	100239	0.0	1.0	0.676596	0.323404
100	641774310	100240	0.0	1.0	0.678862	0.321138
100	641774310	100241	0.0	1.0	0.689076	0.310924
100	641774310	100242	0.0	1.0	0.659389	0.340611
100	641774310	100243	0.0	1.0	0.677419	0.322581
100	641774310	100244	0.0	1.0	0.728395	0.271605
100	641774310	100245	0.0	1.0	0.693548	0.306452
100	641774310	100246	0.0	1.0	0.689655	0.310345
100	641774310	100247	0.0	1.0	0.662745	0.337255
100	641774310	100248	0.0	1.0	0.67037	0.32963
100	641774310	100249	0.0	1.0	0.709677	0.290323
100	641774310	100250	0.0	1.0	0.71371	0.28629
100	641774310	100251	0.0	1.0	0.705882	0.294118
100	641774310	100252	0.0	1.0	0.688525	0.311475
100	641774310	100253	0.0	1.0	0.661224	0.338776
100	641774310	100254	0.0	1.0	0.689243	0.310757
100	641774310	100255	0.0	1.0	0.693277	0.306723
100	641774310	100256	0.0	1.0	0.687747	0.312253
100	641774310	100257	0.0	1.0	0.662651	0.337349
100	641774310	100258	0.0	1.0	0.639676	0.360324
100	641774310	100259	0.0	1.0	0.648438	0.351562
100	641774310	100260	0.0	1.0	0.650909	0.349091
100	641774310	100261	0.0	1.0	0.666667	0.333333
100	641774310	100262	0.0	1.0	0.687225	0.312775
100	641774310	100263	0.0	1.0	0.698795	0.301205
100	641774310	100264	0.0	1.0	0.714286	0.285714
100	641774310	100265	0.0	1.0	0.704348	0.295652
100	641774310	100266	0.0	1.0	0.708171	0.291829
100	641774310	100267	0.0	1.0	0.695167	0.304833
100	641774310	100268	0.0	1.0	0.674699	0.325301
100	641774310	100269	0.0	1.0	0.620818	0.379182
100	641774310	100270	0.0	1.0	0.669091	0.330909
100	641774310	100271	0.0	1.0	0.669767	0.330233
100	641774310	100272	0.0	1.0	0.687243	0.312757
100	641774310	100273	0.0	1.0	0.647541	0.352459
100	641774310	100274	0.0	1.0	0.662281	0.337719
100	641774310	100275	0.0	1.0	0.623016	0.376984
100	641774310	100276	0.0	1.0	0.654618	0.345382
100	641774310	100277	0.0	1.0	0.666667	0.333333
100	641774310	100278	0.0	1.0	0.68	0.32
100	641774310	100279	0.0	1.0	0.678295	0.321705
100	641774310	100280	0.0	1.0	0.686792	0.313208
100	641774310	100281	0.0	1.0	0.660793	0.339207
100	641774310	100282	0.0	1.0	0.653226	0.346774
100	641774310	100283	0.0	1.0	0.646341	0.353659
100	641774310	100284	0.0	1.0	0.705036	0.294964
100	641774310	100285	0.0	1.0	0.735294	0.264706
100	641774310	100286	0.0	1.0	0.753846	0.246154
100	641774310	100287	0.0	1.0	0.745174	0.254826
100	641774310	100288	0.0	1.0	0.747934	0.252066
100	641774310	100289	0.0	1.0	0.778226	0.221774
100	641774310	100290	0.0	1.0	0.76834	0.23166
100	641774310	100291	0.0	1.0	0.763485	0.236515
100	641774310	100292	0.0	1.0	0.809129	0.190871
100	641774310	100293	0.0	1.0	0.80315	0.19685
100	641774310	100294	0.0	1.0	0.804878	0.195122
100	641774310	100295	0.0	1.0	0.797619	0.202381
100	641774310	100296	0.0	1.0	0.795455	0.204545
100	641774310	100297	0.0	1.0	0.772727	0.227273
100	641774310	100298	0.0	1.0	0.716102	0.283898
100	641774310	100299	0.0	1.0	0.727969	0.272031
100	641774310	100300	0.0	1.0	0.753191	0.246809
