Td	run	gen	p1m_in_p3	p2m_in_p3	p1f_in_p3	p2f_in_p3
50	3482603321	100050	0.5	0.5	0.5	0.5
50	3482603321	100051	0.552846	0.447154	0.5	0.5
50	3482603321	100052	0.539683	0.460317	0.520161	0.479839
50	3482603321	100053	0.529412	0.470588	0.502041	0.497959
50	3482603321	100054	0.51004	0.48996	0.482072	0.517928
50	3482603321	100055	0.544747	0.455253	0.510288	0.489712
50	3482603321	100056	0.518219	0.481781	0.541502	0.458498
50	3482603321	100057	0.542636	0.457364	0.520661	0.479339
50	3482603321	100058	0.519231	0.480769	0.5	0.5
50	3482603321	100059	0.533074	0.466926	0.506173	0.493827
50	3482603321	100060	0.517647	0.482353	0.477551	0.522449
50	3482603321	100061	0.569672	0.430328	0.46875	0.53125
50	3482603321	100062	0.54918	0.45082	0.4375	0.5625
50	3482603321	100063	0.566406	0.433594	0.422131	0.577869
50	3482603321	100064	0.531381	0.468619	0.440613	0.559387
50	3482603321	100065	0.571429	0.428571	0.360996	0.639004
50	3482603321	100066	0.577075	0.422925	0.34413	0.65587
50	3482603321	100067	0.617188	0.382812	0.352459	0.647541
50	3482603321	100068	0.611538	0.388462	0.370833	0.629167
50	3482603321	100069	0.632911	0.367089	0.406844	0.593156
50	3482603321	100070	0.610879	0.389121	0.436782	0.563218
50	3482603321	100071	0.572052	0.427948	0.428044	0.571956
50	3482603321	100072	0.580524	0.419476	0.420601	0.579399
50	3482603321	100073	0.54878	0.45122	0.46063	0.53937
50	3482603321	100074	0.588462	0.411538	0.520833	0.479167
50	3482603321	100075	0.572	0.428	0.56	0.44
50	3482603321	100076	0.522267	0.477733	0.56917	0.43083
50	3482603321	100077	0.538168	0.461832	0.554622	0.445378
50	3482603321	100078	0.5671	0.4329	0.572491	0.427509
50	3482603321	100079	0.56917	0.43083	0.611336	0.388664
50	3482603321	100080	0.591837	0.408163	0.623529	0.376471
50	3482603321	100081	0.58	0.42	0.604	0.396
50	3482603321	100082	0.574297	0.425703	0.609562	0.390438
50	3482603321	100083	0.583643	0.416357	0.636364	0.363636
50	3482603321	100084	0.588477	0.411523	0.59144	0.40856
50	3482603321	100085	0.610895	0.389105	0.617284	0.382716
50	3482603321	100086	0.658436	0.341564	0.587549	0.412451
50	3482603321	100087	0.63745	0.36255	0.650602	0.349398
50	3482603321	100088	0.658009	0.341991	0.624535	0.375465
50	3482603321	100089	0.709544	0.290456	0.664093	0.335907
50	3482603321	100090	0.663968	0.336032	0.656126	0.343874
50	3482603321	100091	0.692946	0.307054	0.683398	0.316602
50	3482603321	100092	0.722846	0.277154	0.643777	0.356223
50	3482603321	100093	0.712062	0.287938	0.650206	0.349794
50	3482603321	100094	0.693548	0.306452	0.678571	0.321429
50	3482603321	100095	0.652985	0.347015	0.715517	0.284483
