Td	run	gen	p1m_in_p3	p2m_in_p3	p1f_in_p3	p2f_in_p3
1000	1622828919	101000	0.5	0.5	0.5	0.5
1000	1622828919	101001	0.508032	0.491968	0.501992	0.498008
1000	1622828919	101002	0.526839	0.473161	0.432596	0.567404
1000	1622828919	101003	0.549213	0.450787	0.453252	0.546748
1000	1622828919	101004	0.577154	0.422846	0.421158	0.578842
1000	1622828919	101005	0.539961	0.460039	0.431211	0.568789
1000	1622828919	101006	0.580392	0.419608	0.4	0.6
1000	1622828919	101007	0.597536	0.402464	0.409357	0.590643
1000	1622828919	101008	0.615534	0.384466	0.362887	0.637113
1000	1622828919	101009	0.616379	0.383621	0.393657	0.606343
1000	1622828919	101010	0.650099	0.349901	0.380282	0.619718
1000	1622828919	101011	0.679283	0.320717	0.369478	0.630522
1000	1622828919	101012	0.659048	0.340952	0.4	0.6
1000	1622828919	101013	0.667954	0.332046	0.427386	0.572614
1000	1622828919	101014	0.696177	0.303823	0.413519	0.586481
1000	1622828919	101015	0.718941	0.281059	0.387033	0.612967
1000	1622828919	101016	0.739645	0.260355	0.37931	0.62069
1000	1622828919	101017	0.739394	0.260606	0.39802	0.60198
1000	1622828919	101018	0.736111	0.263889	0.399194	0.600806
1000	1622828919	101019	0.763419	0.236581	0.39839	0.60161
1000	1622828919	101020	0.780684	0.219316	0.451292	0.548708
1000	1622828919	101021	0.785855	0.214145	0.470468	0.529532
1000	1622828919	101022	0.801147	0.198853	0.431866	0.568134
1000	1622828919	101023	0.810078	0.189922	0.456612	0.543388
1000	1622828919	101024	0.834331	0.165669	0.430862	0.569138
1000	1622828919	101025	0.799618	0.200382	0.409664	0.590336
1000	1622828919	101026	0.801193	0.198807	0.38833	0.61167
1000	1622828919	101027	0.816284	0.183716	0.40499	0.59501
1000	1622828919	101028	0.81405	0.18595	0.410853	0.589147
1000	1622828919	101029	0.824524	0.175476	0.421252	0.578748
1000	1622828919	101030	0.824635	0.175365	0.399232	0.600768
1000	1622828919	101031	0.851782	0.148218	0.445396	0.554604
1000	1622828919	101032	0.837302	0.162698	0.441532	0.558468
1000	1622828919	101033	0.827935	0.172065	0.393281	0.606719
1000	1622828919	101034	0.804	0.196	0.406	0.594
1000	1622828919	101035	0.810757	0.189243	0.407631	0.592369
1000	1622828919	101036	0.809901	0.190099	0.418182	0.581818
1000	1622828919	101037	0.809804	0.190196	0.420408	0.579592
1000	1622828919	101038	0.845996	0.154004	0.403509	0.596491
1000	1622828919	101039	0.822835	0.177165	0.404472	0.595528
1000	1622828919	101040	0.797271	0.202729	0.396304	0.603696
1000	1622828919	101041	0.788235	0.211765	0.397959	0.602041
1000	1622828919	101042	0.816701	0.183299	0.436149	0.563851
