Td	run	gen	p1m_in_p3	p2m_in_p3	p1f_in_p3	p2f_in_p3
100	1622818207	100100	0.5	0.5	0.5	0.5
100	1622818207	100101	0.504049	0.495951	0.486166	0.513834
100	1622818207	100102	0.507812	0.492188	0.485656	0.514344
100	1622818207	100103	0.548708	0.451292	0.490946	0.509054
100	1622818207	100104	0.524096	0.475904	0.488048	0.511952
100	1622818207	100105	0.521912	0.478088	0.477912	0.522088
100	1622818207	100106	0.50101	0.49899	0.473267	0.526733
100	1622818207	100107	0.503043	0.496957	0.457594	0.542406
100	1622818207	100108	0.486974	0.513026	0.481038	0.518962
100	1622818207	100109	0.486641	0.513359	0.481092	0.518908
100	1622818207	100110	0.446125	0.553875	0.469214	0.530786
100	1622818207	100111	0.454023	0.545977	0.437238	0.562762
100	1622818207	100112	0.44227	0.55773	0.433538	0.566462
100	1622818207	100113	0.48728	0.51272	0.439673	0.560327
100	1622818207	100114	0.454365	0.545635	0.413306	0.586694
100	1622818207	100115	0.431953	0.568047	0.419878	0.580122
100	1622818207	100116	0.438247	0.561753	0.417671	0.582329
100	1622818207	100117	0.465447	0.534553	0.411417	0.588583
100	1622818207	100118	0.509202	0.490798	0.381605	0.618395
100	1622818207	100119	0.51619	0.48381	0.366316	0.633684
100	1622818207	100120	0.53668	0.46332	0.356846	0.643154
100	1622818207	100121	0.504032	0.495968	0.345238	0.654762
100	1622818207	100122	0.488844	0.511156	0.325444	0.674556
100	1622818207	100123	0.460765	0.539235	0.361829	0.638171
100	1622818207	100124	0.468041	0.531959	0.392233	0.607767
100	1622818207	100125	0.452	0.548	0.402	0.598
100	1622818207	100126	0.487078	0.512922	0.408451	0.591549
100	1622818207	100127	0.492157	0.507843	0.397959	0.602041
100	1622818207	100128	0.482759	0.517241	0.404339	0.595661
100	1622818207	100129	0.458574	0.541426	0.380457	0.619543
100	1622818207	100130	0.477137	0.522863	0.380282	0.619718
100	1622818207	100131	0.471933	0.528067	0.400771	0.599229
100	1622818207	100132	0.431579	0.568421	0.428571	0.571429
100	1622818207	100133	0.408644	0.591356	0.452138	0.547862
100	1622818207	100134	0.365854	0.634146	0.448819	0.551181
100	1622818207	100135	0.35214	0.64786	0.430041	0.569959
100	1622818207	100136	0.343685	0.656315	0.437137	0.562863
100	1622818207	100137	0.304622	0.695378	0.421756	0.578244
100	1622818207	100138	0.291751	0.708249	0.419483	0.580517
100	1622818207	100139	0.308316	0.691684	0.469428	0.530572
100	1622818207	100140	0.309771	0.690229	0.466281	0.533719
100	1622818207	100141	0.324895	0.675105	0.475285	0.524715
100	1622818207	100142	0.353965	0.646035	0.501035	0.498965
100	1622818207	100143	0.378431	0.621569	0.497959	0.502041
100	1622818207	100144	0.379381	0.620619	0.48932	0.51068
100	1622818207	100145	0.381156	0.618844	0.485929	0.514071
100	1622818207	100146	0.357143	0.642857	0.488235	0.511765
100	1622818207	100147	0.3583	0.6417	0.482213	0.517787
100	1622818207	100148	0.355159	0.644841	0.485887	0.514113
100	1622818207	100149	0.34004	0.65996	0.475149	0.524851
100	1622818207	100150	0.375	0.625	0.471774	0.528226
100	1622818207	100151	0.390963	0.609037	0.454175	0.545825
100	1622818207	100152	0.375746	0.624254	0.488934	0.511066
100	1622818207	100153	0.39666	0.60334	0.502879	0.497121
100	1622818207	100154	0.380952	0.619048	0.48	0.52
100	1622818207	100155	0.418891	0.581109	0.506823	0.493177
100	1622818207	100156	0.415094	0.584906	0.499044	0.500956
100	1622818207	100157	0.426263	0.573737	0.481188	0.518812
100	1622818207	100158	0.454733	0.545267	0.476654	0.523346
100	1622818207	100159	0.439024	0.560976	0.492126	0.507874
100	1622818207	100160	0.419417	0.580583	0.515464	0.484536
100	1622818207	100161	0.401623	0.598377	0.510848	0.489152
100	1622818207	100162	0.4125	0.5875	0.482692	0.517308
100	1622818207	100163	0.391732	0.608268	0.51626	0.48374
100	1622818207	100164	0.386588	0.613412	0.521298	0.478702
100	1622818207	100165	0.392197	0.607803	0.530214	0.469786
100	1622818207	100166	0.407843	0.592157	0.473469	0.526531
100	1622818207	100167	0.390741	0.609259	0.482609	0.517391
100	1622818207	100168	0.396947	0.603053	0.453782	0.546218
100	1622818207	100169	0.390244	0.609756	0.48622	0.51378
100	1622818207	100170	0.356108	0.643892	0.483559	0.516441
100	1622818207	100171	0.354651	0.645349	0.487603	0.512397
100	1622818207	100172	0.3125	0.6875	0.484127	0.515873
100	1622818207	100173	0.350575	0.649425	0.462343	0.537657
100	1622818207	100174	0.382066	0.617934	0.474333	0.525667
100	1622818207	100175	0.389328	0.610672	0.477733	0.522267
100	1622818207	100176	0.392157	0.607843	0.47551	0.52449
100	1622818207	100177	0.384937	0.615063	0.457854	0.542146
100	1622818207	100178	0.402256	0.597744	0.444444	0.555556
100	1622818207	100179	0.369811	0.630189	0.442553	0.557447
100	1622818207	100180	0.380762	0.619238	0.443114	0.556886
100	1622818207	100181	0.401198	0.598802	0.40481	0.59519
100	1622818207	100182	0.423868	0.576132	0.42607	0.57393
100	1622818207	100183	0.444874	0.555126	0.492754	0.507246
100	1622818207	100184	0.437238	0.562762	0.524904	0.475096
100	1622818207	100185	0.427711	0.572289	0.565737	0.434263
100	1622818207	100186	0.455969	0.544031	0.541922	0.458078
100	1622818207	100187	0.450677	0.549323	0.575569	0.424431
100	1622818207	100188	0.423828	0.576172	0.55123	0.44877
100	1622818207	100189	0.434263	0.565737	0.540161	0.459839
100	1622818207	100190	0.416834	0.583166	0.550898	0.449102
100	1622818207	100191	0.432049	0.567951	0.558185	0.441815
100	1622818207	100192	0.424051	0.575949	0.614068	0.385932
100	1622818207	100193	0.42485	0.57515	0.600798	0.399202
100	1622818207	100194	0.390593	0.609407	0.622309	0.377691
100	1622818207	100195	0.39499	0.60501	0.650728	0.349272
100	1622818207	100196	0.422535	0.577465	0.634195	0.365805
100	1622818207	100197	0.404715	0.595285	0.623218	0.376782
100	1622818207	100198	0.412698	0.587302	0.618952	0.381048
100	1622818207	100199	0.431818	0.568182	0.596899	0.403101
100	1622818207	100200	0.432377	0.567623	0.619141	0.380859
100	1622818207	100201	0.452479	0.547521	0.622093	0.377907
100	1622818207	100202	0.434077	0.565923	0.627219	0.372781
100	1622818207	100203	0.442424	0.557576	0.635644	0.364356
100	1622818207	100204	0.444219	0.555781	0.646943	0.353057
100	1622818207	100205	0.444444	0.555556	0.607921	0.392079
100	1622818207	100206	0.449814	0.550186	0.638528	0.361472
100	1622818207	100207	0.428866	0.571134	0.642718	0.357282
100	1622818207	100208	0.451485	0.548515	0.644444	0.355556
100	1622818207	100209	0.450102	0.549898	0.626719	0.373281
100	1622818207	100210	0.441296	0.558704	0.650198	0.349802
100	1622818207	100211	0.420842	0.579158	0.638723	0.361277
100	1622818207	100212	0.396552	0.603448	0.646444	0.353556
100	1622818207	100213	0.407631	0.592369	0.631474	0.368526
100	1622818207	100214	0.428291	0.571709	0.627291	0.372709
100	1622818207	100215	0.407708	0.592292	0.595661	0.404339
100	1622818207	100216	0.386454	0.613546	0.590361	0.409639
100	1622818207	100217	0.400818	0.599182	0.60274	0.39726
100	1622818207	100218	0.394477	0.605523	0.584178	0.415822
100	1622818207	100219	0.393145	0.606855	0.585317	0.414683
100	1622818207	100220	0.420408	0.579592	0.617647	0.382353
100	1622818207	100221	0.434959	0.565041	0.655512	0.344488
100	1622818207	100222	0.437624	0.562376	0.676768	0.323232
100	1622818207	100223	0.450304	0.549696	0.639053	0.360947
100	1622818207	100224	0.45666	0.54334	0.586338	0.413662
100	1622818207	100225	0.446429	0.553571	0.522177	0.477823
100	1622818207	100226	0.482283	0.517717	0.49187	0.50813
100	1622818207	100227	0.456033	0.543967	0.520548	0.479452
100	1622818207	100228	0.484064	0.515936	0.536145	0.463855
100	1622818207	100229	0.493802	0.506198	0.556202	0.443798
100	1622818207	100230	0.49697	0.50303	0.550495	0.449505
100	1622818207	100231	0.510638	0.489362	0.556936	0.443064
