Td	run	gen	p1m_in_p3	p2m_in_p3	p1f_in_p3	p2f_in_p3
100	1214366183	100100	0.5	0.5	0.5	0.5
100	1214366183	100101	0.507407	0.492593	0.482609	0.517391
100	1214366183	100102	0.543726	0.456274	0.506329	0.493671
100	1214366183	100103	0.521073	0.478927	0.535565	0.464435
100	1214366183	100104	0.532	0.468	0.548	0.452
100	1214366183	100105	0.623482	0.376518	0.557312	0.442688
100	1214366183	100106	0.621514	0.378486	0.610442	0.389558
100	1214366183	100107	0.634454	0.365546	0.625954	0.374046
100	1214366183	100108	0.627193	0.372807	0.613971	0.386029
100	1214366183	100109	0.632743	0.367257	0.667883	0.332117
100	1214366183	100110	0.671937	0.328063	0.704453	0.295547
100	1214366183	100111	0.699219	0.300781	0.680328	0.319672
100	1214366183	100112	0.747036	0.252964	0.639676	0.360324
100	1214366183	100113	0.796	0.204	0.6	0.4
100	1214366183	100114	0.793103	0.206897	0.577406	0.422594
100	1214366183	100115	0.778226	0.221774	0.571429	0.428571
100	1214366183	100116	0.784906	0.215094	0.561702	0.438298
100	1214366183	100117	0.84375	0.15625	0.569672	0.430328
100	1214366183	100118	0.842105	0.157895	0.534188	0.465812
100	1214366183	100119	0.808333	0.191667	0.530769	0.469231
100	1214366183	100120	0.838057	0.161943	0.533597	0.466403
100	1214366183	100121	0.843621	0.156379	0.536965	0.463035
100	1214366183	100122	0.84739	0.15261	0.569721	0.430279
100	1214366183	100123	0.815385	0.184615	0.604167	0.395833
100	1214366183	100124	0.838057	0.161943	0.632411	0.367589
100	1214366183	100125	0.843373	0.156627	0.63745	0.36255
100	1214366183	100126	0.839216	0.160784	0.64898	0.35102
100	1214366183	100127	0.883333	0.116667	0.673077	0.326923
100	1214366183	100128	0.897541	0.102459	0.679688	0.320312
100	1214366183	100129	0.881633	0.118367	0.72549	0.27451
100	1214366183	100130	0.861224	0.138776	0.709804	0.290196
100	1214366183	100131	0.861314	0.138686	0.685841	0.314159
100	1214366183	100132	0.833977	0.166023	0.655602	0.344398
100	1214366183	100133	0.845833	0.154167	0.642308	0.357692
100	1214366183	100134	0.845188	0.154812	0.586207	0.413793
100	1214366183	100135	0.824268	0.175732	0.605364	0.394636
100	1214366183	100136	0.807843	0.192157	0.595918	0.404082
100	1214366183	100137	0.840467	0.159533	0.609053	0.390947
100	1214366183	100138	0.798319	0.201681	0.599237	0.400763
100	1214366183	100139	0.813953	0.186047	0.61157	0.38843
100	1214366183	100140	0.815789	0.184211	0.641026	0.358974
100	1214366183	100141	0.857143	0.142857	0.641129	0.358871
100	1214366183	100142	0.876033	0.123967	0.643411	0.356589
100	1214366183	100143	0.839216	0.160784	0.644898	0.355102
100	1214366183	100144	0.852459	0.147541	0.675781	0.324219
100	1214366183	100145	0.889299	0.110701	0.646288	0.353712
100	1214366183	100146	0.873518	0.126482	0.635628	0.364372
100	1214366183	100147	0.863454	0.136546	0.641434	0.358566
100	1214366183	100148	0.868526	0.131474	0.626506	0.373494
100	1214366183	100149	0.855422	0.144578	0.593625	0.406375
100	1214366183	100150	0.839844	0.160156	0.627049	0.372951
100	1214366183	100151	0.861423	0.138577	0.643777	0.356223
100	1214366183	100152	0.894309	0.105691	0.602362	0.397638
100	1214366183	100153	0.901186	0.0988142	0.546559	0.453441
100	1214366183	100154	0.936073	0.0639269	0.533808	0.466192
100	1214366183	100155	0.919028	0.0809717	0.561265	0.438735
100	1214366183	100156	0.936759	0.0632411	0.578947	0.421053
100	1214366183	100157	0.932271	0.0677291	0.614458	0.385542
100	1214366183	100158	0.950758	0.0492424	0.635593	0.364407
100	1214366183	100159	0.935484	0.0645161	0.623016	0.376984
100	1214366183	100160	0.929412	0.0705882	0.697959	0.302041
100	1214366183	100161	0.936508	0.0634921	0.66129	0.33871
100	1214366183	100162	0.940928	0.0590717	0.638783	0.361217
100	1214366183	100163	0.935361	0.0646388	0.658228	0.341772
100	1214366183	100164	0.941667	0.0583333	0.65	0.35
100	1214366183	100165	0.915663	0.0843373	0.709163	0.290837
100	1214366183	100166	0.920319	0.0796813	0.714859	0.285141
100	1214366183	100167	0.930894	0.0691057	0.712598	0.287402
100	1214366183	100168	0.934156	0.0658436	0.715953	0.284047
100	1214366183	100169	0.914397	0.0856031	0.761317	0.238683
100	1214366183	100170	0.924901	0.0750988	0.769231	0.230769
100	1214366183	100171	0.947368	0.0526316	0.778656	0.221344
100	1214366183	100172	0.967611	0.0323887	0.762846	0.237154
100	1214366183	100173	0.980916	0.019084	0.760504	0.239496
100	1214366183	100174	0.976744	0.0232558	0.752066	0.247934
100	1214366183	100175	0.987552	0.0124481	0.756757	0.243243
100	1214366183	100176	0.967871	0.0321285	0.721116	0.278884
100	1214366183	100177	0.969349	0.0306513	0.732218	0.267782
100	1214366183	100178	0.947154	0.0528455	0.755906	0.244094
100	1214366183	100179	0.932489	0.0675105	0.749049	0.250951
100	1214366183	100180	0.909091	0.0909091	0.72093	0.27907
100	1214366183	100181	0.925439	0.0745614	0.724265	0.275735
100	1214366183	100182	0.92803	0.0719697	0.724576	0.275424
100	1214366183	100183	0.93254	0.0674603	0.766129	0.233871
100	1214366183	100184	0.935606	0.0643939	0.724576	0.275424
100	1214366183	100185	0.917695	0.0823045	0.680934	0.319066
100	1214366183	100186	0.878327	0.121673	0.679325	0.320675
100	1214366183	100187	0.906367	0.093633	0.682403	0.317597
100	1214366183	100188	0.933071	0.0669291	0.703252	0.296748
100	1214366183	100189	0.947791	0.0522088	0.772908	0.227092
