Td	run	gen	p1m_in_p3	p2m_in_p3	p1f_in_p3	p2f_in_p3
100	3326310969	100205	0.553352	0.446648	0.338846	0.661154
100	3326310969	100206	0.55414	0.44586	0.349678	0.650322
100	3326310969	100207	0.537964	0.462036	0.34271	0.65729
100	3326310969	100208	0.541469	0.458531	0.340357	0.659643
100	3326310969	100209	0.546629	0.453371	0.327784	0.672216
100	3326310969	100210	0.539479	0.460521	0.345309	0.654691
100	3326310969	100211	0.546995	0.453005	0.336771	0.663229
100	3326310969	100212	0.537104	0.462896	0.35341	0.64659
100	3326310969	100213	0.506587	0.493413	0.349098	0.650902
100	3326310969	100214	0.499014	0.500986	0.35213	0.64787
100	3326310969	100215	0.501007	0.498993	0.348431	0.651569
100	3326310969	100216	0.504149	0.495851	0.344269	0.655731
100	3326310969	100217	0.514402	0.485598	0.340039	0.659961
100	3326310969	100218	0.509274	0.490726	0.34881	0.65119
100	3326310969	100219	0.513962	0.486038	0.356267	0.643733
100	3326310969	100220	0.502383	0.497617	0.350927	0.649073
100	3326310969	100221	0.498584	0.501416	0.355872	0.644128
100	3326310969	100222	0.500408	0.499592	0.333203	0.666797
100	3326310969	100223	0.508736	0.491264	0.324143	0.675857
100	3326310969	100224	0.522917	0.477083	0.326375	0.673625
100	3326310969	100225	0.527049	0.472951	0.313757	0.686243
100	3326310969	100226	0.526316	0.473684	0.312199	0.687801
100	3326310969	100227	0.530719	0.469281	0.307997	0.692003
100	3326310969	100228	0.529459	0.470541	0.311261	0.688739
100	3326310969	100229	0.525109	0.474891	0.315257	0.684743
100	3326310969	100230	0.532468	0.467532	0.304811	0.695189
100	3326310969	100231	0.532154	0.467846	0.31449	0.68551
100	3326310969	100232	0.533388	0.466612	0.313679	0.686321
100	3326310969	100233	0.53901	0.46099	0.297778	0.702222
100	3326310969	100234	0.543665	0.456335	0.290902	0.709098
100	3326310969	100235	0.544696	0.455304	0.301651	0.698349
100	3326310969	100236	0.533227	0.466773	0.29976	0.70024
100	3326310969	100237	0.524519	0.475481	0.308038	0.691962
100	3326310969	100238	0.532214	0.467786	0.312833	0.687167
100	3326310969	100239	0.533677	0.466323	0.318255	0.681745
100	3326310969	100240	0.5168	0.4832	0.326	0.674
100	3326310969	100241	0.50814	0.49186	0.334298	0.665702
100	3326310969	100242	0.505591	0.494409	0.335737	0.664263
100	3326310969	100243	0.518327	0.481673	0.339759	0.660241
100	3326310969	100244	0.493537	0.506463	0.341234	0.658766
100	3326310969	100245	0.496719	0.503281	0.336456	0.663544
100	3326310969	100246	0.494683	0.505317	0.342137	0.657863
100	3326310969	100247	0.486858	0.513142	0.336367	0.663633
100	3326310969	100248	0.503366	0.496634	0.354747	0.645253
100	3326310969	100249	0.513292	0.486708	0.37182	0.62818
100	3326310969	100250	0.52497	0.47503	0.384706	0.615294
100	3326310969	100251	0.533017	0.466983	0.377985	0.622015
100	3326310969	100252	0.542587	0.457413	0.379464	0.620536
100	3326310969	100253	0.539537	0.460463	0.379006	0.620994
100	3326310969	100254	0.551194	0.448806	0.364571	0.635429
100	3326310969	100255	0.53328	0.46672	0.381991	0.618009
100	3326310969	100256	0.536634	0.463366	0.388315	0.611685
100	3326310969	100257	0.535045	0.464955	0.405342	0.594658
100	3326310969	100258	0.534164	0.465836	0.418392	0.581608
100	3326310969	100259	0.542959	0.457041	0.434433	0.565567
100	3326310969	100260	0.539919	0.460081	0.428968	0.571032
100	3326310969	100261	0.537052	0.462948	0.43012	0.56988
100	3326310969	100262	0.523848	0.476152	0.438555	0.561445
100	3326310969	100263	0.526613	0.473387	0.427778	0.572222
100	3326310969	100264	0.552871	0.447129	0.433131	0.566869
100	3326310969	100265	0.557018	0.442982	0.421348	0.578652
100	3326310969	100266	0.564019	0.435981	0.414297	0.585703
100	3326310969	100267	0.566265	0.433735	0.416335	0.583665
100	3326310969	100268	0.563196	0.436804	0.414654	0.585346
100	3326310969	100269	0.55407	0.44593	0.405373	0.594627
100	3326310969	100270	0.555736	0.444264	0.408606	0.591394
100	3326310969	100271	0.540649	0.459351	0.42509	0.57491
100	3326310969	100272	0.525855	0.474145	0.421963	0.578037
100	3326310969	100273	0.526016	0.473984	0.447244	0.552756
100	3326310969	100274	0.533762	0.466238	0.470541	0.529459
100	3326310969	100275	0.538028	0.461972	0.467594	0.532406
100	3326310969	100276	0.539563	0.460437	0.459155	0.540845
100	3326310969	100277	0.538217	0.461783	0.447749	0.552251
100	3326310969	100278	0.538186	0.461814	0.454143	0.545857
100	3326310969	100279	0.530612	0.469388	0.45102	0.54898
100	3326310969	100280	0.536872	0.463128	0.452212	0.547788
100	3326310969	100281	0.533019	0.466981	0.449511	0.550489
100	3326310969	100282	0.529715	0.470285	0.462439	0.537561
100	3326310969	100283	0.523077	0.476923	0.461663	0.538337
100	3326310969	100284	0.533871	0.466129	0.472619	0.527381
100	3326310969	100285	0.5245	0.4755	0.481421	0.518579
100	3326310969	100286	0.52051	0.47949	0.471675	0.528325
100	3326310969	100287	0.516858	0.483142	0.480032	0.519968
100	3326310969	100288	0.511146	0.488854	0.458199	0.541801
100	3326310969	100289	0.507373	0.492627	0.45564	0.54436
100	3326310969	100290	0.518997	0.481003	0.444217	0.555783
100	3326310969	100291	0.515819	0.484181	0.435078	0.564922
100	3326310969	100292	0.508634	0.491366	0.446982	0.553018
100	3326310969	100293	0.528264	0.471736	0.442122	0.557878
100	3326310969	100294	0.505022	0.494978	0.445639	0.554361
100	3326310969	100295	0.504327	0.495673	0.463385	0.536615
100	3326310969	100296	0.495611	0.504389	0.451484	0.548516
100	3326310969	100297	0.506494	0.493506	0.47133	0.52867
100	3326310969	100298	0.504425	0.495575	0.449085	0.550915
100	3326310969	100299	0.495805	0.504195	0.427313	0.572687
100	3326310969	100300	0.490461	0.509539	0.431965	0.568035
