Tdiff	run	gen	p1m_in_p3	p2m_in_p3	p1f_in_p3	p2f_in_p3
100	2252115279	100	0.5	0.5	0.5	0.5
100	2252115279	101	0.487402	0.512598	0.497967	0.502033
100	2252115279	102	0.492627	0.507373	0.509434	0.490566
100	2252115279	103	0.496994	0.503006	0.511377	0.488623
100	2252115279	104	0.503155	0.496845	0.511364	0.488636
100	2252115279	105	0.506661	0.493339	0.521998	0.478002
100	2252115279	106	0.49542	0.50458	0.532342	0.467658
100	2252115279	107	0.501626	0.498374	0.540157	0.459843
100	2252115279	108	0.495838	0.504162	0.54461	0.45539
100	2252115279	109	0.487086	0.512914	0.539255	0.460745
100	2252115279	110	0.483074	0.516926	0.538771	0.461229
100	2252115279	111	0.477401	0.522599	0.520222	0.479778
100	2252115279	112	0.471131	0.528869	0.51676	0.48324
100	2252115279	113	0.467213	0.532787	0.517188	0.482812
100	2252115279	114	0.458976	0.541024	0.527975	0.472025
100	2252115279	115	0.442207	0.557793	0.527215	0.472785
100	2252115279	116	0.439886	0.560114	0.523247	0.476753
100	2252115279	117	0.442323	0.557677	0.525744	0.474256
100	2252115279	118	0.448	0.552	0.5276	0.4724
100	2252115279	119	0.440097	0.559903	0.512892	0.487108
100	2252115279	120	0.442193	0.557807	0.513894	0.486106
100	2252115279	121	0.44935	0.55065	0.513601	0.486399
100	2252115279	122	0.469751	0.530249	0.535411	0.464589
100	2252115279	123	0.46856	0.53144	0.514793	0.485207
100	2252115279	124	0.455336	0.544664	0.517004	0.482996
100	2252115279	125	0.450918	0.549082	0.498396	0.501604
100	2252115279	126	0.445347	0.554653	0.48523	0.51477
100	2252115279	127	0.437451	0.562549	0.486981	0.513019
100	2252115279	128	0.416266	0.583734	0.476438	0.523562
100	2252115279	129	0.4167	0.5833	0.469009	0.530991
100	2252115279	130	0.413376	0.586624	0.484909	0.515091
100	2252115279	131	0.387674	0.612326	0.505835	0.494165
100	2252115279	132	0.383434	0.616566	0.499802	0.500198
100	2252115279	133	0.384204	0.615796	0.502919	0.497081
100	2252115279	134	0.371821	0.628179	0.508522	0.491478
100	2252115279	135	0.380747	0.619253	0.510794	0.489206
100	2252115279	136	0.372148	0.627852	0.509764	0.490236
100	2252115279	137	0.344295	0.655705	0.508481	0.491519
100	2252115279	138	0.351648	0.648352	0.499017	0.500983
100	2252115279	139	0.347403	0.652597	0.503549	0.496451
100	2252115279	140	0.347084	0.652916	0.508269	0.491731
100	2252115279	141	0.341048	0.658952	0.502956	0.497044
100	2252115279	142	0.328851	0.671149	0.505106	0.494894
100	2252115279	143	0.325088	0.674912	0.505911	0.494089
100	2252115279	144	0.342199	0.657801	0.502217	0.497783
100	2252115279	145	0.345817	0.654183	0.488755	0.511245
100	2252115279	146	0.322854	0.677146	0.496229	0.503771
100	2252115279	147	0.338498	0.661502	0.501812	0.498188
100	2252115279	148	0.342577	0.657423	0.512166	0.487834
100	2252115279	149	0.329723	0.670277	0.504587	0.495413
100	2252115279	150	0.320679	0.679321	0.511886	0.488114
100	2252115279	151	0.317181	0.682819	0.520575	0.479425
100	2252115279	152	0.315366	0.684634	0.521082	0.478918
100	2252115279	153	0.321715	0.678285	0.52516	0.47484
100	2252115279	154	0.320264	0.679736	0.518564	0.481436
100	2252115279	155	0.336649	0.663351	0.52111	0.47889
