Tdiff	run	gen	p1m_in_p3	p2m_in_p3	p1f_in_p3	p2f_in_p3
100	3473623206	100205	0.145749	0.854251	0.549407	0.450593
100	3473623206	100206	0.084	0.916	0.56	0.44
100	3473623206	100207	0.0617284	0.938272	0.536965	0.463035
100	3473623206	100208	0.0756972	0.924303	0.554217	0.445783
100	3473623206	100209	0.101695	0.898305	0.560606	0.439394
100	3473623206	100210	0.111111	0.888889	0.548387	0.451613
100	3473623206	100211	0.0902256	0.909774	0.555556	0.444444
100	3473623206	100212	0.113924	0.886076	0.543726	0.456274
100	3473623206	100213	0.112403	0.887597	0.520661	0.479339
100	3473623206	100214	0.143411	0.856589	0.512397	0.487603
100	3473623206	100215	0.184615	0.815385	0.5	0.5
100	3473623206	100216	0.159696	0.840304	0.510549	0.489451
100	3473623206	100217	0.113281	0.886719	0.54918	0.45082
100	3473623206	100218	0.095941	0.904059	0.585153	0.414847
100	3473623206	100219	0.0923077	0.907692	0.6	0.4
100	3473623206	100220	0.107759	0.892241	0.649254	0.350746
100	3473623206	100221	0.0886076	0.911392	0.653992	0.346008
100	3473623206	100222	0.100402	0.899598	0.689243	0.310757
100	3473623206	100223	0.0896861	0.910314	0.711191	0.288809
100	3473623206	100224	0.0530612	0.946939	0.682353	0.317647
100	3473623206	100225	0.0613027	0.938697	0.631799	0.368201
100	3473623206	100226	0.0532787	0.946721	0.613281	0.386719
100	3473623206	100227	0.0929204	0.90708	0.616788	0.383212
100	3473623206	100228	0.116	0.884	0.588	0.412
100	3473623206	100229	0.0755556	0.924444	0.567273	0.432727
100	3473623206	100230	0.0823529	0.917647	0.559184	0.440816
100	3473623206	100231	0.0572687	0.942731	0.582418	0.417582
100	3473623206	100232	0.0497925	0.950207	0.517375	0.482625
100	3473623206	100233	0.064	0.936	0.492	0.508
100	3473623206	100234	0.083004	0.916996	0.477733	0.522267
100	3473623206	100235	0.108787	0.891213	0.482759	0.517241
100	3473623206	100236	0.104651	0.895349	0.42562	0.57438
100	3473623206	100237	0.0916031	0.908397	0.436975	0.563025
100	3473623206	100238	0.0833333	0.916667	0.415254	0.584746
100	3473623206	100239	0.092437	0.907563	0.385496	0.614504
100	3473623206	100240	0.0793651	0.920635	0.358871	0.641129
100	3473623206	100241	0.0705882	0.929412	0.379592	0.620408
100	3473623206	100242	0.0723404	0.92766	0.392453	0.607547
100	3473623206	100243	0.0606061	0.939394	0.372881	0.627119
100	3473623206	100244	0.0488722	0.951128	0.423077	0.576923
100	3473623206	100245	0.0472441	0.952756	0.430894	0.569106
100	3473623206	100246	0.0196078	0.980392	0.444898	0.555102
100	3473623206	100247	0.034749	0.965251	0.456432	0.543568
100	3473623206	100248	0.0244898	0.97551	0.482353	0.517647
100	3473623206	100249	0.0365854	0.963415	0.527559	0.472441
100	3473623206	100250	0.0239044	0.976096	0.445783	0.554217
100	3473623206	100251	0.029661	0.970339	0.44697	0.55303
100	3473623206	100252	0.023166	0.976834	0.518672	0.481328
100	3473623206	100253	0.0041841	0.995816	0.455939	0.544061
100	3473623206	100254	0.004	0.996	0.44	0.56
100	3473623206	100255	0.0	1.0	0.420635	0.579365
100	3473623206	100256	0.0	1.0	0.432836	0.567164
100	3473623206	100257	0.0	1.0	0.385496	0.614504
100	3473623206	100258	0.0	1.0	0.34252	0.65748
100	3473623206	100259	0.0	1.0	0.396154	0.603846
100	3473623206	100260	0.0	1.0	0.379061	0.620939
100	3473623206	100261	0.0	1.0	0.38843	0.61157
100	3473623206	100262	0.0	1.0	0.378601	0.621399
100	3473623206	100263	0.0	1.0	0.356	0.644
100	3473623206	100264	0.0	1.0	0.367521	0.632479
100	3473623206	100265	0.0	1.0	0.31405	0.68595
100	3473623206	100266	0.0	1.0	0.322709	0.677291
100	3473623206	100267	0.0	1.0	0.305147	0.694853
100	3473623206	100268	0.0	1.0	0.305882	0.694118
100	3473623206	100269	0.0	1.0	0.298851	0.701149
100	3473623206	100270	0.0	1.0	0.239382	0.760618
100	3473623206	100271	0.0	1.0	0.225296	0.774704
100	3473623206	100272	0.0	1.0	0.223108	0.776892
100	3473623206	100273	0.0	1.0	0.222222	0.777778
100	3473623206	100274	0.0	1.0	0.20438	0.79562
100	3473623206	100275	0.0	1.0	0.238281	0.761719
100	3473623206	100276	0.0	1.0	0.273438	0.726562
100	3473623206	100277	0.0	1.0	0.32766	0.67234
100	3473623206	100278	0.0	1.0	0.320755	0.679245
100	3473623206	100279	0.0	1.0	0.319502	0.680498
100	3473623206	100280	0.0	1.0	0.299145	0.700855
100	3473623206	100281	0.0	1.0	0.297521	0.702479
100	3473623206	100282	0.0	1.0	0.314741	0.685259
100	3473623206	100283	0.0	1.0	0.265918	0.734082
100	3473623206	100284	0.0	1.0	0.246032	0.753968
100	3473623206	100285	0.0	1.0	0.229508	0.770492
100	3473623206	100286	0.0	1.0	0.230769	0.769231
100	3473623206	100287	0.0	1.0	0.223938	0.776062
100	3473623206	100288	0.0	1.0	0.242915	0.757085
100	3473623206	100289	0.0	1.0	0.234848	0.765152
100	3473623206	100290	0.0	1.0	0.205128	0.794872
100	3473623206	100291	0.0	1.0	0.190265	0.809735
100	3473623206	100292	0.0	1.0	0.168033	0.831967
100	3473623206	100293	0.0	1.0	0.233607	0.766393
100	3473623206	100294	0.0	1.0	0.269841	0.730159
100	3473623206	100295	0.0	1.0	0.272374	0.727626
100	3473623206	100296	0.0	1.0	0.244094	0.755906
100	3473623206	100297	0.0	1.0	0.234375	0.765625
100	3473623206	100298	0.0	1.0	0.268398	0.731602
100	3473623206	100299	0.0	1.0	0.286885	0.713115
100	3473623206	100300	0.0	1.0	0.245059	0.754941
