Td	run	gen	p1m_in_p3	p2m_in_p3	p1f_in_p3	p2f_in_p3
1000	3963006857	101000	0.5	0.5	0.5	0.5
1000	3963006857	101001	0.49799	0.50201	0.485271	0.514729
1000	3963006857	101002	0.496198	0.503802	0.481008	0.518992
1000	3963006857	101003	0.508032	0.491968	0.481673	0.518327
1000	3963006857	101004	0.509134	0.490866	0.474214	0.525786
1000	3963006857	101005	0.505897	0.494103	0.482094	0.517906
1000	3963006857	101006	0.492168	0.507832	0.49728	0.50272
1000	3963006857	101007	0.491263	0.508737	0.499597	0.500403
1000	3963006857	101008	0.476	0.524	0.4876	0.5124
1000	3963006857	101009	0.488987	0.511013	0.486616	0.513384
1000	3963006857	101010	0.477551	0.522449	0.495294	0.504706
1000	3963006857	101011	0.481305	0.518695	0.500805	0.499195
1000	3963006857	101012	0.477805	0.522195	0.504362	0.495638
1000	3963006857	101013	0.463166	0.536834	0.495871	0.504129
1000	3963006857	101014	0.462793	0.537207	0.493768	0.506232
1000	3963006857	101015	0.463797	0.536203	0.488067	0.511933
1000	3963006857	101016	0.460835	0.539165	0.489336	0.510664
1000	3963006857	101017	0.466721	0.533279	0.483044	0.516956
1000	3963006857	101018	0.451807	0.548193	0.481673	0.518327
1000	3963006857	101019	0.440989	0.559011	0.479133	0.520867
1000	3963006857	101020	0.439529	0.560471	0.458596	0.541404
1000	3963006857	101021	0.449087	0.550913	0.461933	0.538067
1000	3963006857	101022	0.4632	0.5368	0.4752	0.5248
1000	3963006857	101023	0.460904	0.539096	0.48391	0.51609
1000	3963006857	101024	0.45177	0.54823	0.485254	0.514746
1000	3963006857	101025	0.449194	0.550806	0.478968	0.521032
1000	3963006857	101026	0.442467	0.557533	0.481991	0.518009
1000	3963006857	101027	0.443959	0.556041	0.478261	0.521739
1000	3963006857	101028	0.446843	0.553157	0.502402	0.497598
1000	3963006857	101029	0.434053	0.565947	0.505604	0.494396
1000	3963006857	101030	0.43813	0.56187	0.503771	0.496229
1000	3963006857	101031	0.433706	0.566294	0.506811	0.493189
1000	3963006857	101032	0.422033	0.577967	0.504149	0.495851
1000	3963006857	101033	0.421283	0.578717	0.494179	0.505821
1000	3963006857	101034	0.408664	0.591336	0.490795	0.509205
1000	3963006857	101035	0.414547	0.585453	0.468599	0.531401
1000	3963006857	101036	0.42698	0.57302	0.47688	0.52312
1000	3963006857	101037	0.428235	0.571765	0.483265	0.516735
1000	3963006857	101038	0.448891	0.551109	0.483845	0.516155
1000	3963006857	101039	0.445016	0.554984	0.474515	0.525485
1000	3963006857	101040	0.473225	0.526775	0.463493	0.536507
1000	3963006857	101041	0.465228	0.534772	0.471177	0.528823
1000	3963006857	101042	0.472349	0.527651	0.473218	0.526782
