ID	Td	gen	p1m_in_p3	p2m_in_p3	p1f_in_p3	p2f_in_p3
529048133	703	100703	0.720576	0.279424	0.989592	0.0104083
529048133	703	100704	0.705696	0.294304	0.983414	0.0165858
529048133	703	100705	0.712368	0.287632	0.984264	0.0157356
529048133	703	100706	0.71886	0.28114	0.98729	0.0127101
529048133	703	100707	0.713552	0.286448	0.986634	0.0133657
529048133	703	100708	0.714684	0.285316	0.9807	0.0193004
529048133	703	100709	0.721338	0.278662	0.983119	0.016881
529048133	703	100710	0.720143	0.279857	0.984325	0.0156752
529048133	703	100711	0.733042	0.266958	0.983461	0.0165389
529048133	703	100712	0.724466	0.275534	0.981002	0.0189976
529048133	703	100713	0.71336	0.28664	0.979051	0.0209486
529048133	703	100714	0.711983	0.288017	0.981395	0.0186047
529048133	703	100715	0.701981	0.298019	0.984567	0.0154333
529048133	703	100716	0.702836	0.297164	0.984418	0.0155824
529048133	703	100717	0.702272	0.297728	0.985949	0.0140506
529048133	703	100718	0.729158	0.270842	0.987407	0.0125935
529048133	703	100719	0.724909	0.275091	0.989366	0.0106341
529048133	703	100720	0.730328	0.269672	0.989844	0.0101562
529048133	703	100721	0.717762	0.282238	0.990134	0.00986582
529048133	703	100722	0.707397	0.292603	0.989424	0.0105758
529048133	703	100723	0.693479	0.306521	0.98688	0.0131201
529048133	703	100724	0.688827	0.311173	0.989612	0.0103875
529048133	703	100725	0.690784	0.309216	0.989311	0.0106888
529048133	703	100726	0.694456	0.305544	0.991576	0.00842359
529048133	703	100727	0.683682	0.316318	0.990048	0.00995223
529048133	703	100728	0.661582	0.338418	0.993224	0.00677561
529048133	703	100729	0.668731	0.331269	0.990894	0.00910596
529048133	703	100730	0.668792	0.331208	0.991168	0.00883179
529048133	703	100731	0.678134	0.321866	0.992715	0.0072845
529048133	703	100732	0.683004	0.316996	0.991498	0.00850202
529048133	703	100733	0.685944	0.314056	0.991633	0.00836653
529048133	703	100734	0.700609	0.299391	0.993688	0.00631164
529048133	703	100735	0.710714	0.289286	0.995968	0.00403226
529048133	703	100736	0.712176	0.287824	0.99519	0.00480962
529048133	703	100737	0.7237	0.2763	0.993551	0.00644901
529048133	703	100738	0.728335	0.271665	0.992854	0.00714569
529048133	703	100739	0.719679	0.280321	0.991235	0.00876494
529048133	703	100740	0.706785	0.293215	0.992472	0.00752773
529048133	703	100741	0.699168	0.300832	0.993944	0.00605571
529048133	703	100742	0.712549	0.287451	0.993061	0.00693878
529048133	703	100743	0.720191	0.279809	0.991948	0.00805153
529048133	703	100744	0.725806	0.274194	0.993651	0.00634921
529048133	703	100745	0.716891	0.283109	0.992736	0.00726392
529048133	703	100746	0.721524	0.278476	0.991158	0.00884211
529048133	703	100747	0.716721	0.283279	0.989353	0.0106467
529048133	703	100748	0.732748	0.267252	0.991576	0.00842359
529048133	703	100749	0.739233	0.260767	0.994276	0.00572363
529048133	703	100750	0.743064	0.256936	0.995225	0.00477517
529048133	703	100751	0.725443	0.274557	0.994038	0.00596184
529048133	703	100752	0.721467	0.278533	0.993393	0.00660707
529048133	703	100753	0.720356	0.279644	0.991696	0.00830368
529048133	703	100754	0.717683	0.282317	0.992478	0.00752194
529048133	703	100755	0.709664	0.290336	0.991294	0.00870598
529048133	703	100756	0.699717	0.300283	0.989719	0.0102807
529048133	703	100757	0.694173	0.305827	0.990995	0.00900532
529048133	703	100758	0.702247	0.297753	0.991228	0.00877193
529048133	703	100759	0.704865	0.295135	0.991643	0.00835655
529048133	703	100760	0.703451	0.296549	0.992424	0.00757576
529048133	703	100761	0.696498	0.303502	0.993004	0.00699588
529048133	703	100762	0.697959	0.302041	0.996078	0.00392157
529048133	703	100763	0.710931	0.289069	0.996838	0.00316206
529048133	703	100764	0.716238	0.283762	0.995223	0.00477707
529048133	703	100765	0.738076	0.261924	0.992874	0.00712589
529048133	703	100766	0.737033	0.262967	0.996419	0.00358138
529048133	703	100767	0.753895	0.246105	0.996796	0.00320384
529048133	703	100768	0.739027	0.260973	0.995548	0.00445164
529048133	703	100769	0.730083	0.269917	0.994348	0.005652
529048133	703	100770	0.729642	0.270358	0.99489	0.00511006
529048133	703	100771	0.748899	0.251101	0.99161	0.00838993
529048133	703	100772	0.748299	0.251701	0.990804	0.00919632
529048133	703	100773	0.753077	0.246923	0.989117	0.0108827
529048133	703	100774	0.765906	0.234094	0.990004	0.009996
529048133	703	100775	0.769505	0.230495	0.988283	0.0117172
529048133	703	100776	0.773023	0.226977	0.986152	0.0138481
529048133	703	100777	0.767396	0.232604	0.981891	0.0181087
529048133	703	100778	0.775869	0.224131	0.982379	0.0176211
529048133	703	100779	0.772939	0.227061	0.9757	0.0242998
529048133	703	100780	0.773415	0.226585	0.977691	0.0223092
529048133	703	100781	0.761087	0.238913	0.978775	0.0212255
529048133	703	100782	0.758143	0.241857	0.979167	0.0208333
529048133	703	100783	0.768832	0.231168	0.978723	0.0212766
529048133	703	100784	0.769449	0.230551	0.980253	0.0197472
529048133	703	100785	0.769569	0.230431	0.977163	0.0228365
529048133	703	100786	0.776566	0.223434	0.969505	0.030495
529048133	703	100787	0.777422	0.222578	0.972422	0.0275779
529048133	703	100788	0.777958	0.222042	0.971959	0.0280411
529048133	703	100789	0.752495	0.247505	0.967936	0.0320641
529048133	703	100790	0.744537	0.255463	0.968586	0.0314136
529048133	703	100791	0.73965	0.26035	0.971463	0.028537
529048133	703	100792	0.744186	0.255814	0.971269	0.028731
529048133	703	100793	0.737414	0.262586	0.973381	0.026619
529048133	703	100794	0.73451	0.26549	0.97659	0.0234101
529048133	703	100795	0.721431	0.278569	0.97442	0.0255805
529048133	703	100796	0.726566	0.273434	0.974971	0.0250293
529048133	703	100797	0.726983	0.273017	0.977921	0.0220795
529048133	703	100798	0.7292	0.2708	0.9768	0.0232
529048133	703	100799	0.741782	0.258218	0.978586	0.0214141
529048133	703	100800	0.751122	0.248878	0.984308	0.0156924
529048133	703	100801	0.762039	0.237961	0.984051	0.015949
529048133	703	100802	0.762981	0.237019	0.985063	0.0149374
529048133	703	100803	0.758006	0.241994	0.989735	0.0102645
529048133	703	100804	0.775543	0.224457	0.988465	0.0115354
529048133	703	100805	0.787366	0.212634	0.987975	0.0120248
529048133	703	100806	0.781825	0.218175	0.98801	0.0119904
529048133	703	100807	0.767009	0.232991	0.989482	0.0105178
529048133	703	100808	0.777689	0.222311	0.985247	0.0147528
529048133	703	100809	0.781885	0.218115	0.986998	0.0130024
529048133	703	100810	0.780193	0.219807	0.986884	0.0131161
529048133	703	100811	0.798242	0.201758	0.987585	0.0124149
529048133	703	100812	0.809601	0.190399	0.984658	0.0153423
