ID	Td	gen	p1m_in_p3	p2m_in_p3	p1f_in_p3	p2f_in_p3
477819777	500	100500	0.461169	0.538831	0.281025	0.718975
477819777	500	100501	0.478419	0.521581	0.277668	0.722332
477819777	500	100502	0.496795	0.503205	0.27516	0.72484
477819777	500	100503	0.496631	0.503369	0.263222	0.736778
477819777	500	100504	0.504591	0.495409	0.26012	0.73988
477819777	500	100505	0.51251	0.48749	0.258128	0.741872
477819777	500	100506	0.509939	0.490061	0.256805	0.743195
477819777	500	100507	0.508407	0.491593	0.257394	0.742606
477819777	500	100508	0.511947	0.488053	0.269309	0.730691
477819777	500	100509	0.519008	0.480992	0.269092	0.730908
477819777	500	100510	0.521774	0.478226	0.272619	0.727381
477819777	500	100511	0.513325	0.486675	0.28114	0.71886
477819777	500	100512	0.520179	0.479821	0.264625	0.735375
477819777	500	100513	0.534874	0.465126	0.265193	0.734807
477819777	500	100514	0.536074	0.463926	0.260421	0.739579
477819777	500	100515	0.54509	0.45491	0.261477	0.738523
477819777	500	100516	0.525524	0.474476	0.260412	0.739588
477819777	500	100517	0.523132	0.476868	0.238365	0.761635
477819777	500	100518	0.529647	0.470353	0.235623	0.764377
477819777	500	100519	0.517742	0.482258	0.235714	0.764286
477819777	500	100520	0.530231	0.469769	0.237731	0.762269
477819777	500	100521	0.524222	0.475778	0.25193	0.74807
477819777	500	100522	0.504055	0.495945	0.255722	0.744278
477819777	500	100523	0.519238	0.480762	0.262606	0.737394
477819777	500	100524	0.511971	0.488029	0.274258	0.725742
477819777	500	100525	0.507385	0.492615	0.27495	0.72505
477819777	500	100526	0.508907	0.491093	0.25415	0.74585
477819777	500	100527	0.505026	0.494974	0.251492	0.748508
477819777	500	100528	0.512205	0.487795	0.259245	0.740755
477819777	500	100529	0.504379	0.495621	0.250804	0.749196
477819777	500	100530	0.506651	0.493349	0.241763	0.758237
477819777	500	100531	0.506597	0.493403	0.244098	0.755902
477819777	500	100532	0.5	0.5	0.262151	0.737849
477819777	500	100533	0.487942	0.512058	0.244825	0.755175
477819777	500	100534	0.514579	0.485421	0.25653	0.74347
477819777	500	100535	0.536499	0.463501	0.278956	0.721044
477819777	500	100536	0.532198	0.467802	0.286541	0.713459
477819777	500	100537	0.533413	0.466587	0.287485	0.712515
477819777	500	100538	0.523614	0.476386	0.28538	0.71462
477819777	500	100539	0.527553	0.472447	0.273302	0.726698
477819777	500	100540	0.519028	0.480972	0.278261	0.721739
477819777	500	100541	0.513806	0.486194	0.272691	0.727309
477819777	500	100542	0.520934	0.479066	0.255564	0.744436
477819777	500	100543	0.510537	0.489463	0.261569	0.738431
477819777	500	100544	0.511057	0.488943	0.258405	0.741595
477819777	500	100545	0.508495	0.491505	0.249209	0.750791
477819777	500	100546	0.51027	0.48973	0.244736	0.755264
477819777	500	100547	0.52149	0.47851	0.240516	0.759484
477819777	500	100548	0.53557	0.46443	0.241884	0.758116
477819777	500	100549	0.530806	0.469194	0.24919	0.75081
477819777	500	100550	0.545744	0.454256	0.255833	0.744167
477819777	500	100551	0.550139	0.449861	0.264836	0.735164
477819777	500	100552	0.539912	0.460088	0.269246	0.730754
477819777	500	100553	0.533145	0.466855	0.260095	0.739905
477819777	500	100554	0.544582	0.455418	0.254902	0.745098
477819777	500	100555	0.541567	0.458433	0.271017	0.728983
477819777	500	100556	0.530928	0.469072	0.271994	0.728006
477819777	500	100557	0.527733	0.472267	0.276672	0.723328
477819777	500	100558	0.527365	0.472635	0.275184	0.724816
477819777	500	100559	0.543155	0.456845	0.284974	0.715026
477819777	500	100560	0.543909	0.456091	0.277185	0.722815
477819777	500	100561	0.559295	0.440705	0.266773	0.733227
477819777	500	100562	0.553027	0.446973	0.276881	0.723119
477819777	500	100563	0.56141	0.43859	0.286349	0.713651
477819777	500	100564	0.561326	0.438674	0.272327	0.727673
477819777	500	100565	0.55813	0.44187	0.273528	0.726472
477819777	500	100566	0.554936	0.445064	0.265273	0.734727
477819777	500	100567	0.549027	0.450973	0.259671	0.740329
477819777	500	100568	0.542742	0.457258	0.257937	0.742063
477819777	500	100569	0.535294	0.464706	0.264082	0.735918
477819777	500	100570	0.541481	0.458519	0.272044	0.727956
477819777	500	100571	0.534381	0.465619	0.259878	0.740122
477819777	500	100572	0.535414	0.464586	0.260296	0.739704
477819777	500	100573	0.50386	0.49614	0.250492	0.749508
477819777	500	100574	0.495528	0.504472	0.257874	0.742126
477819777	500	100575	0.475469	0.524531	0.26795	0.73205
477819777	500	100576	0.466882	0.533118	0.276545	0.723455
477819777	500	100577	0.467717	0.532283	0.287398	0.712602
477819777	500	100578	0.467897	0.532103	0.28748	0.71252
477819777	500	100579	0.47489	0.52511	0.2728	0.7272
477819777	500	100580	0.476749	0.523251	0.26949	0.73051
477819777	500	100581	0.488836	0.511164	0.274478	0.725522
477819777	500	100582	0.492919	0.507081	0.281937	0.718063
477819777	500	100583	0.494866	0.505134	0.288493	0.711507
477819777	500	100584	0.5	0.5	0.289474	0.710526
477819777	500	100585	0.503817	0.496183	0.293907	0.706093
477819777	500	100586	0.50735	0.49265	0.289166	0.710834
477819777	500	100587	0.505167	0.494833	0.281804	0.718196
477819777	500	100588	0.517393	0.482607	0.270908	0.729092
477819777	500	100589	0.527921	0.472079	0.275556	0.724444
477819777	500	100590	0.522627	0.477373	0.267279	0.732721
477819777	500	100591	0.51971	0.48029	0.282816	0.717184
477819777	500	100592	0.503759	0.496241	0.277396	0.722604
477819777	500	100593	0.48962	0.51038	0.268901	0.731099
477819777	500	100594	0.488577	0.511423	0.277844	0.722156
477819777	500	100595	0.483691	0.516309	0.277554	0.722446
477819777	500	100596	0.483858	0.516142	0.286992	0.713008
477819777	500	100597	0.489764	0.510236	0.28252	0.71748
477819777	500	100598	0.4881	0.5119	0.275684	0.724316
477819777	500	100599	0.508963	0.491037	0.262942	0.737058
477819777	500	100600	0.509509	0.490491	0.24475	0.75525
477819777	500	100601	0.511155	0.488845	0.249799	0.750201
477819777	500	100602	0.525484	0.474516	0.253139	0.746861
477819777	500	100603	0.535206	0.464794	0.250405	0.749595
477819777	500	100604	0.543825	0.456175	0.238554	0.761446
477819777	500	100605	0.534082	0.465918	0.250599	0.749401
477819777	500	100606	0.535395	0.464605	0.244296	0.755704
477819777	500	100607	0.547874	0.452126	0.24124	0.75876
477819777	500	100608	0.546926	0.453074	0.25356	0.74644
477819777	500	100609	0.562937	0.437063	0.24155	0.75845
477819777	500	100610	0.583603	0.416397	0.229794	0.770206
477819777	500	100611	0.594891	0.405109	0.213102	0.786898
477819777	500	100612	0.594115	0.405885	0.21318	0.78682
477819777	500	100613	0.596575	0.403425	0.216151	0.783849
477819777	500	100614	0.570584	0.429416	0.222403	0.777597
477819777	500	100615	0.572819	0.427181	0.228008	0.771992
477819777	500	100616	0.55914	0.44086	0.233025	0.766975
477819777	500	100617	0.549128	0.450872	0.233845	0.766155
477819777	500	100618	0.559118	0.440882	0.241916	0.758084
477819777	500	100619	0.540465	0.459535	0.253195	0.746805
477819777	500	100620	0.551127	0.448873	0.255962	0.744038
477819777	500	100621	0.522047	0.477953	0.252033	0.747967
477819777	500	100622	0.509419	0.490581	0.258283	0.741717
477819777	500	100623	0.504613	0.495387	0.262864	0.737136
477819777	500	100624	0.503474	0.496526	0.249902	0.750098
477819777	500	100625	0.500799	0.499201	0.250401	0.749599
477819777	500	100626	0.481296	0.518704	0.250935	0.749065
477819777	500	100627	0.455133	0.544867	0.270784	0.729216
477819777	500	100628	0.4501	0.5499	0.277844	0.722156
477819777	500	100629	0.462055	0.537945	0.275709	0.724291
477819777	500	100630	0.469524	0.530476	0.271876	0.728124
477819777	500	100631	0.485018	0.514982	0.281538	0.718462
477819777	500	100632	0.477805	0.522195	0.293418	0.706582
477819777	500	100633	0.490813	0.509187	0.302234	0.697766
477819777	500	100634	0.468963	0.531037	0.293648	0.706352
477819777	500	100635	0.467145	0.532855	0.28405	0.71595
477819777	500	100636	0.465004	0.534996	0.276054	0.723946
477819777	500	100637	0.45668	0.54332	0.275099	0.724901
477819777	500	100638	0.454617	0.545383	0.267594	0.732406
477819777	500	100639	0.459935	0.540065	0.276821	0.723179
477819777	500	100640	0.474186	0.525814	0.273973	0.726027
477819777	500	100641	0.480648	0.519352	0.284846	0.715154
477819777	500	100642	0.475969	0.524031	0.277273	0.722727
477819777	500	100643	0.468599	0.531401	0.285771	0.714229
477819777	500	100644	0.454472	0.545528	0.291104	0.708896
477819777	500	100645	0.444052	0.555948	0.306156	0.693844
477819777	500	100646	0.434642	0.565358	0.297351	0.702649
477819777	500	100647	0.442422	0.557578	0.289527	0.710473
477819777	500	100648	0.436132	0.563868	0.300362	0.699638
477819777	500	100649	0.435266	0.564734	0.305802	0.694198
477819777	500	100650	0.422956	0.577044	0.319625	0.680375
477819777	500	100651	0.424051	0.575949	0.328883	0.671117
477819777	500	100652	0.432716	0.567284	0.330024	0.669976
477819777	500	100653	0.429081	0.570919	0.3437	0.6563
477819777	500	100654	0.408428	0.591572	0.35545	0.64455
477819777	500	100655	0.395158	0.604842	0.357934	0.642066
477819777	500	100656	0.4	0.6	0.356607	0.643393
477819777	500	100657	0.3875	0.6125	0.355159	0.644841
477819777	500	100658	0.391778	0.608222	0.356491	0.643509
477819777	500	100659	0.395816	0.604184	0.352849	0.647151
477819777	500	100660	0.395311	0.604689	0.356295	0.643705
477819777	500	100661	0.390575	0.609425	0.364984	0.635016
477819777	500	100662	0.388158	0.611842	0.352804	0.647196
477819777	500	100663	0.37201	0.62799	0.355538	0.644462
477819777	500	100664	0.378734	0.621266	0.349538	0.650462
477819777	500	100665	0.384895	0.615105	0.353407	0.646593
477819777	500	100666	0.389631	0.610369	0.354405	0.645595
477819777	500	100667	0.39741	0.60259	0.367734	0.632266
477819777	500	100668	0.400237	0.599763	0.352679	0.647321
477819777	500	100669	0.402608	0.597392	0.358602	0.641398
477819777	500	100670	0.412186	0.587814	0.351547	0.648453
477819777	500	100671	0.418023	0.581977	0.353486	0.646514
477819777	500	100672	0.430677	0.569323	0.346185	0.653815
477819777	500	100673	0.442375	0.557625	0.352868	0.647132
477819777	500	100674	0.444137	0.555863	0.357114	0.642886
477819777	500	100675	0.449234	0.550766	0.346704	0.653296
477819777	500	100676	0.44807	0.55193	0.355448	0.644552
477819777	500	100677	0.435835	0.564165	0.362014	0.637986
477819777	500	100678	0.425874	0.574126	0.37953	0.62047
477819777	500	100679	0.431069	0.568931	0.373741	0.626259
477819777	500	100680	0.422713	0.577287	0.383929	0.616071
477819777	500	100681	0.431587	0.568413	0.381947	0.618053
477819777	500	100682	0.436069	0.563931	0.384023	0.615977
477819777	500	100683	0.440064	0.559936	0.391408	0.608592
477819777	500	100684	0.451166	0.548834	0.39741	0.60259
477819777	500	100685	0.447148	0.552852	0.406739	0.593261
477819777	500	100686	0.447197	0.552803	0.405437	0.594563
477819777	500	100687	0.459928	0.540072	0.410807	0.589193
477819777	500	100688	0.458937	0.541063	0.421304	0.578696
477819777	500	100689	0.446	0.554	0.4272	0.5728
477819777	500	100690	0.423325	0.576675	0.418715	0.581285
477819777	500	100691	0.423695	0.576305	0.408765	0.591235
477819777	500	100692	0.424315	0.575685	0.392267	0.607733
477819777	500	100693	0.42423	0.57577	0.406563	0.593437
477819777	500	100694	0.427306	0.572694	0.402861	0.597139
477819777	500	100695	0.422434	0.577566	0.402253	0.597747
477819777	500	100696	0.432593	0.567407	0.392655	0.607345
477819777	500	100697	0.431048	0.568952	0.405952	0.594048
477819777	500	100698	0.417419	0.582581	0.409629	0.590371
477819777	500	100699	0.391235	0.608765	0.438956	0.561044
477819777	500	100700	0.393031	0.606969	0.444313	0.555687
477819777	500	100701	0.379103	0.620897	0.445244	0.554756
477819777	500	100702	0.39277	0.60723	0.450355	0.549645
477819777	500	100703	0.384122	0.615878	0.462091	0.537909
477819777	500	100704	0.37852	0.62148	0.477725	0.522275
477819777	500	100705	0.361523	0.638477	0.479441	0.520559
477819777	500	100706	0.361813	0.638187	0.487036	0.512964
477819777	500	100707	0.365728	0.634272	0.482453	0.517547
477819777	500	100708	0.374951	0.625049	0.485528	0.514472
477819777	500	100709	0.379114	0.620886	0.473021	0.526979
477819777	500	100710	0.379421	0.620579	0.476115	0.523885
477819777	500	100711	0.367694	0.632306	0.465964	0.534036
477819777	500	100712	0.361573	0.638427	0.454797	0.545203
477819777	500	100713	0.366142	0.633858	0.443089	0.556911
477819777	500	100714	0.383726	0.616274	0.468512	0.531488
477819777	500	100715	0.386826	0.613174	0.456914	0.543086
477819777	500	100716	0.395152	0.604848	0.450297	0.549703
477819777	500	100717	0.388054	0.611946	0.44822	0.55178
477819777	500	100718	0.386282	0.613718	0.447547	0.552453
477819777	500	100719	0.367159	0.632841	0.438526	0.561474
477819777	500	100720	0.363126	0.636874	0.436727	0.563273
477819777	500	100721	0.366572	0.633428	0.422513	0.577487
