ID	Td	gen	p1m_in_p3	p2m_in_p3	p1f_in_p3	p2f_in_p3
795430036	1000	101000	0.634538	0.365462	0.767068	0.232932
795430036	1000	101001	0.626305	0.373695	0.788868	0.211132
795430036	1000	101002	0.623188	0.376812	0.796905	0.203095
795430036	1000	101003	0.604255	0.395745	0.771698	0.228302
795430036	1000	101004	0.618449	0.381551	0.801147	0.198853
795430036	1000	101005	0.635246	0.364754	0.826172	0.173828
795430036	1000	101006	0.603412	0.396588	0.836158	0.163842
795430036	1000	101007	0.549061	0.450939	0.854127	0.145873
795430036	1000	101008	0.558704	0.441296	0.891304	0.108696
795430036	1000	101009	0.564202	0.435798	0.903292	0.0967078
795430036	1000	101010	0.53719	0.46281	0.908915	0.0910853
795430036	1000	101011	0.499025	0.500975	0.924025	0.0759754
795430036	1000	101012	0.500998	0.499002	0.915832	0.0841683
795430036	1000	101013	0.532389	0.467611	0.916996	0.083004
795430036	1000	101014	0.543568	0.456432	0.899614	0.100386
795430036	1000	101015	0.554371	0.445629	0.907721	0.0922787
795430036	1000	101016	0.549495	0.450505	0.924752	0.0752475
795430036	1000	101017	0.545455	0.454545	0.922772	0.0772277
795430036	1000	101018	0.525773	0.474227	0.924272	0.0757282
795430036	1000	101019	0.527619	0.472381	0.934737	0.0652632
795430036	1000	101020	0.524793	0.475207	0.957364	0.0426357
795430036	1000	101021	0.538934	0.461066	0.958984	0.0410156
795430036	1000	101022	0.562624	0.437376	0.967807	0.0321932
795430036	1000	101023	0.593878	0.406122	0.956863	0.0431373
795430036	1000	101024	0.591085	0.408915	0.946281	0.053719
795430036	1000	101025	0.578	0.422	0.958	0.042
795430036	1000	101026	0.581162	0.418838	0.956088	0.0439122
795430036	1000	101027	0.614931	0.385069	0.96334	0.0366599
795430036	1000	101028	0.645793	0.354207	0.96728	0.0327198
795430036	1000	101029	0.619522	0.380478	0.959839	0.0401606
795430036	1000	101030	0.631579	0.368421	0.938735	0.0612648
795430036	1000	101031	0.64	0.36	0.948	0.052
795430036	1000	101032	0.626984	0.373016	0.945565	0.0544355
795430036	1000	101033	0.639279	0.360721	0.954092	0.0459082
795430036	1000	101034	0.62423	0.37577	0.957115	0.042885
795430036	1000	101035	0.632411	0.367589	0.963563	0.0364372
795430036	1000	101036	0.638298	0.361702	0.971014	0.0289855
795430036	1000	101037	0.624277	0.375723	0.970894	0.029106
795430036	1000	101038	0.582121	0.417879	0.967245	0.0327553
795430036	1000	101039	0.585366	0.414634	0.962598	0.0374016
795430036	1000	101040	0.612069	0.387931	0.947761	0.0522388
795430036	1000	101041	0.590099	0.409901	0.949495	0.0505051
795430036	1000	101042	0.594697	0.405303	0.938559	0.0614407
795430036	1000	101043	0.589474	0.410526	0.942857	0.0571429
795430036	1000	101044	0.580078	0.419922	0.944672	0.0553279
795430036	1000	101045	0.59761	0.40239	0.941767	0.0582329
795430036	1000	101046	0.60757	0.39243	0.951807	0.0481928
795430036	1000	101047	0.631478	0.368522	0.951983	0.0480167
795430036	1000	101048	0.634241	0.365759	0.940329	0.0596708
795430036	1000	101049	0.65567	0.34433	0.935922	0.0640777
795430036	1000	101050	0.642	0.358	0.95	0.05
795430036	1000	101051	0.628	0.372	0.942	0.058
795430036	1000	101052	0.610136	0.389864	0.963039	0.036961
795430036	1000	101053	0.610204	0.389796	0.984314	0.0156863
795430036	1000	101054	0.58215	0.41785	0.980276	0.0197239
795430036	1000	101055	0.57935	0.42065	0.987421	0.0125786
795430036	1000	101056	0.534972	0.465028	0.989384	0.0106157
795430036	1000	101057	0.529532	0.470468	0.990177	0.00982318
795430036	1000	101058	0.523139	0.476861	0.99006	0.00994036
795430036	1000	101059	0.520576	0.479424	0.992218	0.0077821
795430036	1000	101060	0.512048	0.487952	0.994024	0.0059761
795430036	1000	101061	0.484342	0.515658	0.996161	0.00383877
795430036	1000	101062	0.519011	0.480989	0.993671	0.00632911
795430036	1000	101063	0.526971	0.473029	0.988417	0.011583
795430036	1000	101064	0.514286	0.485714	0.988235	0.0117647
795430036	1000	101065	0.53831	0.46169	0.985743	0.0142566
795430036	1000	101066	0.524291	0.475709	0.982213	0.0177866
795430036	1000	101067	0.536346	0.463654	0.977597	0.0224033
795430036	1000	101068	0.509615	0.490385	0.96875	0.03125
