ID	Td	gen	p1m_in_p3	p2m_in_p3	p1f_in_p3	p2f_in_p3
477819777	300	100300	0.461169	0.538831	0.281025	0.718975
477819777	300	100301	0.444624	0.555376	0.287411	0.712589
477819777	300	100302	0.446979	0.553021	0.279488	0.720512
477819777	300	100303	0.428571	0.571429	0.268486	0.731514
477819777	300	100304	0.42055	0.57945	0.276818	0.723182
477819777	300	100305	0.413946	0.586054	0.292576	0.707424
477819777	300	100306	0.406439	0.593561	0.286282	0.713718
477819777	300	100307	0.398867	0.601133	0.298259	0.701741
477819777	300	100308	0.398888	0.601112	0.290375	0.709625
477819777	300	100309	0.417129	0.582871	0.303471	0.696529
477819777	300	100310	0.398332	0.601668	0.307413	0.692587
477819777	300	100311	0.397736	0.602264	0.316706	0.683294
477819777	300	100312	0.390869	0.609131	0.319616	0.680384
477819777	300	100313	0.369645	0.630355	0.317772	0.682228
477819777	300	100314	0.369522	0.630478	0.308794	0.691206
477819777	300	100315	0.364669	0.635331	0.304863	0.695137
477819777	300	100316	0.350912	0.649088	0.302663	0.697337
477819777	300	100317	0.348323	0.651677	0.317647	0.682353
477819777	300	100318	0.354184	0.645816	0.316391	0.683609
477819777	300	100319	0.341172	0.658828	0.326776	0.673224
477819777	300	100320	0.315893	0.684107	0.323027	0.676973
477819777	300	100321	0.295374	0.704626	0.333468	0.666532
477819777	300	100322	0.284127	0.715873	0.330645	0.669355
477819777	300	100323	0.294374	0.705626	0.34168	0.65832
477819777	300	100324	0.282461	0.717539	0.340008	0.659992
477819777	300	100325	0.28158	0.71842	0.346296	0.653704
477819777	300	100326	0.284628	0.715372	0.330935	0.669065
477819777	300	100327	0.282301	0.717699	0.325563	0.674437
477819777	300	100328	0.271005	0.728995	0.326205	0.673795
477819777	300	100329	0.271605	0.728395	0.330655	0.669345
477819777	300	100330	0.261532	0.738468	0.313123	0.686877
477819777	300	100331	0.263629	0.736371	0.29347	0.70653
477819777	300	100332	0.265519	0.734481	0.296844	0.703156
477819777	300	100333	0.257402	0.742598	0.300365	0.699635
477819777	300	100334	0.273973	0.726027	0.288721	0.711279
477819777	300	100335	0.271221	0.728779	0.30285	0.69715
477819777	300	100336	0.266353	0.733647	0.326522	0.673478
477819777	300	100337	0.249178	0.750822	0.309969	0.690031
477819777	300	100338	0.260322	0.739678	0.298738	0.701262
477819777	300	100339	0.24744	0.75256	0.302462	0.697538
477819777	300	100340	0.244719	0.755281	0.310719	0.689281
477819777	300	100341	0.253089	0.746911	0.301084	0.698916
477819777	300	100342	0.240319	0.759681	0.297395	0.702605
477819777	300	100343	0.249404	0.750596	0.289686	0.710314
477819777	300	100344	0.236915	0.763085	0.289549	0.710451
477819777	300	100345	0.254878	0.745122	0.270472	0.729528
477819777	300	100346	0.259333	0.740667	0.267526	0.732474
477819777	300	100347	0.258222	0.741778	0.278676	0.721324
477819777	300	100348	0.238405	0.761595	0.270653	0.729347
477819777	300	100349	0.238172	0.761828	0.281361	0.718639
477819777	300	100350	0.23937	0.76063	0.284553	0.715447
477819777	300	100351	0.238208	0.761792	0.291482	0.708518
477819777	300	100352	0.231634	0.768366	0.297728	0.702272
477819777	300	100353	0.230521	0.769479	0.289734	0.710266
477819777	300	100354	0.218024	0.781976	0.284262	0.715738
477819777	300	100355	0.211632	0.788368	0.287639	0.712361
477819777	300	100356	0.225643	0.774357	0.281841	0.718159
477819777	300	100357	0.226139	0.773861	0.282424	0.717576
477819777	300	100358	0.243453	0.756547	0.283646	0.716354
477819777	300	100359	0.254847	0.745153	0.282092	0.717908
477819777	300	100360	0.262903	0.737097	0.292857	0.707143
477819777	300	100361	0.26796	0.73204	0.281614	0.718386
477819777	300	100362	0.261609	0.738391	0.277434	0.722566
477819777	300	100363	0.270593	0.729407	0.287897	0.712103
477819777	300	100364	0.274325	0.725675	0.303054	0.696946
477819777	300	100365	0.273167	0.726833	0.306593	0.693407
