ID	Td	gen	p1m_in_p3	p2m_in_p3	p1f_in_p3	p2f_in_p3
477819777	1000	101000	0.461169	0.538831	0.281025	0.718975
477819777	1000	101001	0.460478	0.539522	0.297671	0.702329
477819777	1000	101002	0.461351	0.538649	0.287175	0.712825
477819777	1000	101003	0.45768	0.54232	0.294935	0.705065
477819777	1000	101004	0.467594	0.532406	0.308249	0.691751
477819777	1000	101005	0.465247	0.534753	0.315014	0.684986
477819777	1000	101006	0.45807	0.54193	0.320793	0.679207
477819777	1000	101007	0.443855	0.556145	0.332027	0.667973
477819777	1000	101008	0.453112	0.546888	0.323832	0.676168
477819777	1000	101009	0.45026	0.54974	0.319984	0.680016
477819777	1000	101010	0.45008	0.54992	0.31851	0.68149
477819777	1000	101011	0.459747	0.540253	0.326034	0.673966
477819777	1000	101012	0.464029	0.535971	0.327062	0.672938
477819777	1000	101013	0.471032	0.528968	0.303226	0.696774
477819777	1000	101014	0.471118	0.528882	0.323955	0.676045
477819777	1000	101015	0.452614	0.547386	0.3029	0.6971
477819777	1000	101016	0.446352	0.553648	0.296266	0.703734
477819777	1000	101017	0.453932	0.546068	0.28888	0.71112
477819777	1000	101018	0.461289	0.538711	0.289775	0.710225
477819777	1000	101019	0.469166	0.530834	0.298134	0.701866
477819777	1000	101020	0.468949	0.531051	0.287379	0.712621
477819777	1000	101021	0.455339	0.544661	0.279323	0.720677
477819777	1000	101022	0.467559	0.532441	0.272691	0.727309
477819777	1000	101023	0.468713	0.531287	0.252542	0.747458
477819777	1000	101024	0.470236	0.529764	0.250701	0.749299
477819777	1000	101025	0.463926	0.536074	0.246129	0.753871
477819777	1000	101026	0.464501	0.535499	0.25369	0.74631
477819777	1000	101027	0.458087	0.541913	0.261082	0.738918
477819777	1000	101028	0.45933	0.54067	0.256019	0.743981
477819777	1000	101029	0.460687	0.539313	0.245443	0.754557
477819777	1000	101030	0.4616	0.5384	0.241146	0.758854
477819777	1000	101031	0.47463	0.52537	0.242291	0.757709
477819777	1000	101032	0.465429	0.534571	0.233293	0.766707
477819777	1000	101033	0.448262	0.551738	0.237485	0.762515
477819777	1000	101034	0.461818	0.538182	0.244752	0.755248
477819777	1000	101035	0.453945	0.546055	0.245571	0.754429
477819777	1000	101036	0.441637	0.558363	0.244914	0.755086
477819777	1000	101037	0.433374	0.566626	0.248123	0.751877
477819777	1000	101038	0.412616	0.587384	0.253684	0.746316
477819777	1000	101039	0.430303	0.569697	0.253861	0.746139
477819777	1000	101040	0.433086	0.566914	0.255232	0.744768
477819777	1000	101041	0.427209	0.572791	0.254925	0.745075
477819777	1000	101042	0.427269	0.572731	0.253532	0.746468
477819777	1000	101043	0.410439	0.589561	0.252125	0.747875
477819777	1000	101044	0.421596	0.578404	0.266425	0.733575
477819777	1000	101045	0.428403	0.571597	0.26479	0.73521
477819777	1000	101046	0.426912	0.573088	0.268078	0.731922
477819777	1000	101047	0.418614	0.581386	0.25695	0.74305
477819777	1000	101048	0.414969	0.585031	0.265114	0.734886
477819777	1000	101049	0.400397	0.599603	0.274597	0.725403
477819777	1000	101050	0.392497	0.607503	0.281634	0.718366
477819777	1000	101051	0.393694	0.606306	0.278306	0.721694
477819777	1000	101052	0.392872	0.607128	0.284486	0.715514
477819777	1000	101053	0.40269	0.59731	0.294498	0.705502
477819777	1000	101054	0.407736	0.592264	0.30143	0.69857
477819777	1000	101055	0.408363	0.591637	0.290455	0.709545
477819777	1000	101056	0.413355	0.586645	0.296296	0.703704
477819777	1000	101057	0.412223	0.587777	0.274785	0.725215
477819777	1000	101058	0.419238	0.580762	0.272255	0.727745
477819777	1000	101059	0.417472	0.582528	0.27663	0.72337
477819777	1000	101060	0.427381	0.572619	0.266935	0.733065
477819777	1000	101061	0.426645	0.573355	0.27027	0.72973
477819777	1000	101062	0.42513	0.57487	0.268633	0.731367
477819777	1000	101063	0.421739	0.578261	0.260324	0.739676
477819777	1000	101064	0.42078	0.57922	0.27492	0.72508
477819777	1000	101065	0.427416	0.572584	0.261971	0.738029
477819777	1000	101066	0.414919	0.585081	0.249206	0.750794
477819777	1000	101067	0.427484	0.572516	0.250799	0.749201
477819777	1000	101068	0.448191	0.551809	0.255062	0.744938
477819777	1000	101069	0.454005	0.545995	0.260694	0.739306
477819777	1000	101070	0.457176	0.542824	0.252558	0.747442
477819777	1000	101071	0.452657	0.547343	0.2499	0.7501
477819777	1000	101072	0.451919	0.548081	0.245451	0.754549
477819777	1000	101073	0.460863	0.539137	0.234776	0.765224
477819777	1000	101074	0.45274	0.54726	0.249396	0.750604
