ID	Td	gen	p1m_in_p3	p2m_in_p3	p1f_in_p3	p2f_in_p3
1382189340	100	100100	0.685484	0.314516	0.919355	0.0806452
1382189340	100	100101	0.727626	0.272374	0.90535	0.0946502
1382189340	100	100102	0.745968	0.254032	0.912698	0.0873016
1382189340	100	100103	0.79668	0.20332	0.888031	0.111969
1382189340	100	100104	0.789272	0.210728	0.849372	0.150628
1382189340	100	100105	0.764228	0.235772	0.826772	0.173228
1382189340	100	100106	0.741525	0.258475	0.818182	0.181818
1382189340	100	100107	0.7	0.3	0.788889	0.211111
1382189340	100	100108	0.731915	0.268085	0.781132	0.218868
1382189340	100	100109	0.74477	0.25523	0.804598	0.195402
1382189340	100	100110	0.753906	0.246094	0.77459	0.22541
1382189340	100	100111	0.73494	0.26506	0.824701	0.175299
1382189340	100	100112	0.761538	0.238462	0.8375	0.1625
1382189340	100	100113	0.737052	0.262948	0.843373	0.156627
1382189340	100	100114	0.738956	0.261044	0.860558	0.139442
1382189340	100	100115	0.733871	0.266129	0.861111	0.138889
1382189340	100	100116	0.7125	0.2875	0.846154	0.153846
1382189340	100	100117	0.690909	0.309091	0.866667	0.133333
1382189340	100	100118	0.736641	0.263359	0.827731	0.172269
1382189340	100	100119	0.757812	0.242188	0.840164	0.159836
1382189340	100	100120	0.742063	0.257937	0.822581	0.177419
1382189340	100	100121	0.733871	0.266129	0.81746	0.18254
1382189340	100	100122	0.745174	0.254826	0.804979	0.195021
1382189340	100	100123	0.716	0.284	0.792	0.208
1382189340	100	100124	0.732794	0.267206	0.778656	0.221344
1382189340	100	100125	0.752896	0.247104	0.813278	0.186722
1382189340	100	100126	0.756	0.244	0.816	0.184
1382189340	100	100127	0.768293	0.231707	0.795276	0.204724
1382189340	100	100128	0.719665	0.280335	0.777778	0.222222
1382189340	100	100129	0.725869	0.274131	0.792531	0.207469
1382189340	100	100130	0.695473	0.304527	0.735409	0.264591
1382189340	100	100131	0.641434	0.358566	0.73494	0.26506
1382189340	100	100132	0.709804	0.290196	0.734694	0.265306
1382189340	100	100133	0.7393	0.2607	0.761317	0.238683
1382189340	100	100134	0.719844	0.280156	0.781893	0.218107
1382189340	100	100135	0.733333	0.266667	0.8	0.2
1382189340	100	100136	0.705426	0.294574	0.77686	0.22314
1382189340	100	100137	0.736842	0.263158	0.750988	0.249012
1382189340	100	100138	0.729839	0.270161	0.722222	0.277778
1382189340	100	100139	0.703557	0.296443	0.753036	0.246964
1382189340	100	100140	0.701149	0.298851	0.740586	0.259414
1382189340	100	100141	0.662447	0.337553	0.745247	0.254753
1382189340	100	100142	0.651852	0.348148	0.752174	0.247826
1382189340	100	100143	0.633858	0.366142	0.760163	0.239837
1382189340	100	100144	0.631579	0.368421	0.725086	0.274914
1382189340	100	100145	0.621951	0.378049	0.720472	0.279528
1382189340	100	100146	0.61811	0.38189	0.739837	0.260163
1382189340	100	100147	0.563707	0.436293	0.742739	0.257261
1382189340	100	100148	0.546154	0.453846	0.725	0.275
1382189340	100	100149	0.521401	0.478599	0.72428	0.27572
1382189340	100	100150	0.483146	0.516854	0.716738	0.283262
1382189340	100	100151	0.528139	0.471861	0.687732	0.312268
1382189340	100	100152	0.52	0.48	0.692	0.308
1382189340	100	100153	0.445415	0.554585	0.701107	0.298893
1382189340	100	100154	0.447699	0.552301	0.739464	0.260536
1382189340	100	100155	0.428016	0.571984	0.765432	0.234568
1382189340	100	100156	0.4	0.6	0.755102	0.244898
1382189340	100	100157	0.433198	0.566802	0.731225	0.268775
1382189340	100	100158	0.440816	0.559184	0.694118	0.305882
1382189340	100	100159	0.451883	0.548117	0.666667	0.333333
1382189340	100	100160	0.536	0.464	0.652	0.348
1382189340	100	100161	0.582996	0.417004	0.6917	0.3083
1382189340	100	100162	0.594378	0.405622	0.713147	0.286853
1382189340	100	100163	0.620833	0.379167	0.684615	0.315385
1382189340	100	100164	0.625468	0.374532	0.686695	0.313305
1382189340	100	100165	0.611111	0.388889	0.649194	0.350806
1382189340	100	100166	0.558704	0.441296	0.6917	0.3083
1382189340	100	100167	0.558233	0.441767	0.689243	0.310757
1382189340	100	100168	0.538793	0.461207	0.75	0.25
1382189340	100	100169	0.525896	0.474104	0.759036	0.240964
1382189340	100	100170	0.476793	0.523207	0.764259	0.235741
1382189340	100	100171	0.444444	0.555556	0.733871	0.266129
1382189340	100	100172	0.423868	0.576132	0.692607	0.307393
1382189340	100	100173	0.434615	0.565385	0.654167	0.345833
1382189340	100	100174	0.451883	0.548117	0.651341	0.348659
1382189340	100	100175	0.422925	0.577075	0.668016	0.331984
1382189340	100	100176	0.462451	0.537549	0.716599	0.283401
1382189340	100	100177	0.43083	0.56917	0.757085	0.242915
1382189340	100	100178	0.416	0.584	0.728	0.272
1382189340	100	100179	0.401639	0.598361	0.714844	0.285156
1382189340	100	100180	0.38403	0.61597	0.725738	0.274262
1382189340	100	100181	0.365462	0.634538	0.74502	0.25498
1382189340	100	100182	0.391635	0.608365	0.729958	0.270042
1382189340	100	100183	0.406375	0.593625	0.738956	0.261044
1382189340	100	100184	0.424354	0.575646	0.716157	0.283843
1382189340	100	100185	0.453846	0.546154	0.7625	0.2375
1382189340	100	100186	0.510121	0.489879	0.747036	0.252964
1382189340	100	100187	0.52521	0.47479	0.751908	0.248092
1382189340	100	100188	0.537549	0.462451	0.744939	0.255061
1382189340	100	100189	0.568182	0.431818	0.728814	0.271186
1382189340	100	100190	0.598394	0.401606	0.701195	0.298805
1382189340	100	100191	0.605691	0.394309	0.681102	0.318898
1382189340	100	100192	0.579365	0.420635	0.669355	0.330645
1382189340	100	100193	0.595745	0.404255	0.675472	0.324528
1382189340	100	100194	0.556911	0.443089	0.688976	0.311024
1382189340	100	100195	0.55102	0.44898	0.658824	0.341176
1382189340	100	100196	0.479508	0.520492	0.65625	0.34375
1382189340	100	100197	0.502128	0.497872	0.667925	0.332075
1382189340	100	100198	0.489796	0.510204	0.682353	0.317647
1382189340	100	100199	0.491736	0.508264	0.658915	0.341085
1382189340	100	100200	0.518219	0.481781	0.652174	0.347826
1382189340	100	100201	0.524	0.476	0.656	0.344
1382189340	100	100202	0.46696	0.53304	0.673993	0.326007
1382189340	100	100203	0.367769	0.632231	0.70155	0.29845
1382189340	100	100204	0.396761	0.603239	0.703557	0.296443
1382189340	100	100205	0.417355	0.582645	0.678295	0.321705
1382189340	100	100206	0.419753	0.580247	0.684825	0.315175
1382189340	100	100207	0.43956	0.56044	0.621145	0.378855
