ID	Td	gen	p1m_in_p3	p2m_in_p3	p1f_in_p3	p2f_in_p3
895070533	300	100300	0.269076	0.730924	0.791165	0.208835
895070533	300	100301	0.25969	0.74031	0.801653	0.198347
895070533	300	100302	0.258947	0.741053	0.786667	0.213333
895070533	300	100303	0.270751	0.729249	0.811741	0.188259
895070533	300	100304	0.309942	0.690058	0.821355	0.178645
895070533	300	100305	0.299389	0.700611	0.807466	0.192534
895070533	300	100306	0.312883	0.687117	0.767123	0.232877
895070533	300	100307	0.293307	0.706693	0.735772	0.264228
895070533	300	100308	0.342105	0.657895	0.733202	0.266798
895070533	300	100309	0.368209	0.631791	0.747515	0.252485
895070533	300	100310	0.38189	0.61811	0.756098	0.243902
895070533	300	100311	0.386179	0.613821	0.722441	0.277559
895070533	300	100312	0.381818	0.618182	0.724752	0.275248
895070533	300	100313	0.394286	0.605714	0.749474	0.250526
895070533	300	100314	0.449905	0.550095	0.717622	0.282378
895070533	300	100315	0.453061	0.546939	0.737255	0.262745
895070533	300	100316	0.460159	0.539841	0.75502	0.24498
895070533	300	100317	0.466667	0.533333	0.763462	0.236538
895070533	300	100318	0.482353	0.517647	0.757143	0.242857
895070533	300	100319	0.454728	0.545272	0.715706	0.284294
895070533	300	100320	0.472917	0.527083	0.671154	0.328846
895070533	300	100321	0.450593	0.549407	0.649798	0.350202
895070533	300	100322	0.470238	0.529762	0.639113	0.360887
895070533	300	100323	0.443564	0.556436	0.642424	0.357576
895070533	300	100324	0.449704	0.550296	0.675456	0.324544
895070533	300	100325	0.439024	0.560976	0.653543	0.346457
895070533	300	100326	0.446809	0.553191	0.662264	0.337736
895070533	300	100327	0.430799	0.569201	0.675565	0.324435
895070533	300	100328	0.398305	0.601695	0.710227	0.289773
895070533	300	100329	0.392086	0.607914	0.711712	0.288288
895070533	300	100330	0.352113	0.647887	0.691849	0.308151
895070533	300	100331	0.361446	0.638554	0.641434	0.358566
895070533	300	100332	0.420833	0.579167	0.590385	0.409615
895070533	300	100333	0.414163	0.585837	0.582397	0.417603
895070533	300	100334	0.393375	0.606625	0.584139	0.415861
895070533	300	100335	0.377907	0.622093	0.603306	0.396694
895070533	300	100336	0.360236	0.639764	0.617886	0.382114
895070533	300	100337	0.352601	0.647399	0.62578	0.37422
895070533	300	100338	0.362745	0.637255	0.671429	0.328571
895070533	300	100339	0.316239	0.683761	0.663534	0.336466
895070533	300	100340	0.291913	0.708087	0.614604	0.385396
895070533	300	100341	0.296593	0.703407	0.612774	0.387226
895070533	300	100342	0.291667	0.708333	0.677966	0.322034
895070533	300	100343	0.295688	0.704312	0.668616	0.331384
895070533	300	100344	0.343284	0.656716	0.655172	0.344828
895070533	300	100345	0.35568	0.64432	0.678186	0.321814
895070533	300	100346	0.36381	0.63619	0.671579	0.328421
895070533	300	100347	0.372047	0.627953	0.676829	0.323171
895070533	300	100348	0.370518	0.629482	0.670683	0.329317
895070533	300	100349	0.352475	0.647525	0.654545	0.345455
895070533	300	100350	0.319588	0.680412	0.695146	0.304854
895070533	300	100351	0.376016	0.623984	0.659449	0.340551
895070533	300	100352	0.355422	0.644578	0.681275	0.318725
895070533	300	100353	0.35743	0.64257	0.643426	0.356574
895070533	300	100354	0.373391	0.626609	0.61236	0.38764
895070533	300	100355	0.37037	0.62963	0.640657	0.359343
895070533	300	100356	0.378698	0.621302	0.655172	0.344828
895070533	300	100357	0.37182	0.62818	0.676892	0.323108
895070533	300	100358	0.335306	0.664694	0.687627	0.312373
895070533	300	100359	0.335391	0.664609	0.661479	0.338521
895070533	300	100360	0.339056	0.660944	0.629213	0.370787
895070533	300	100361	0.348606	0.651394	0.624498	0.375502
895070533	300	100362	0.323829	0.676171	0.612967	0.387033
895070533	300	100363	0.301181	0.698819	0.603659	0.396341
895070533	300	100364	0.302326	0.697674	0.599174	0.400826
895070533	300	100365	0.285992	0.714008	0.582305	0.417695
895070533	300	100366	0.24558	0.75442	0.596741	0.403259
895070533	300	100367	0.210084	0.789916	0.604962	0.395038
895070533	300	100368	0.213573	0.786427	0.603206	0.396794
895070533	300	100369	0.232848	0.767152	0.583815	0.416185
895070533	300	100370	0.246964	0.753036	0.56917	0.43083
895070533	300	100371	0.260956	0.739044	0.53012	0.46988
895070533	300	100372	0.27673	0.72327	0.543021	0.456979
895070533	300	100373	0.280464	0.719536	0.540373	0.459627
895070533	300	100374	0.277992	0.722008	0.543568	0.456432
895070533	300	100375	0.284615	0.715385	0.510417	0.489583
895070533	300	100376	0.265226	0.734774	0.474542	0.525458
895070533	300	100377	0.283702	0.716298	0.473161	0.526839
895070533	300	100378	0.299424	0.700576	0.463466	0.536534
895070533	300	100379	0.304175	0.695825	0.486922	0.513078
895070533	300	100380	0.314	0.686	0.528	0.472
895070533	300	100381	0.327485	0.672515	0.521561	0.478439
895070533	300	100382	0.288889	0.711111	0.550495	0.449505
895070533	300	100383	0.279762	0.720238	0.532258	0.467742
895070533	300	100384	0.247423	0.752577	0.541748	0.458252
895070533	300	100385	0.215116	0.784884	0.590909	0.409091
895070533	300	100386	0.223577	0.776423	0.574803	0.425197
895070533	300	100387	0.223092	0.776908	0.566462	0.433538
895070533	300	100388	0.214137	0.785863	0.566474	0.433526
895070533	300	100389	0.222222	0.777778	0.571429	0.428571
895070533	300	100390	0.257545	0.742455	0.54672	0.45328
895070533	300	100391	0.266402	0.733598	0.535211	0.464789
895070533	300	100392	0.260784	0.739216	0.534694	0.465306
895070533	300	100393	0.255061	0.744939	0.575099	0.424901
895070533	300	100394	0.248544	0.751456	0.589691	0.410309
895070533	300	100395	0.228283	0.771717	0.60396	0.39604
895070533	300	100396	0.217304	0.782696	0.574553	0.425447
895070533	300	100397	0.226891	0.773109	0.55916	0.44084
895070533	300	100398	0.253608	0.746392	0.557282	0.442718
895070533	300	100399	0.234496	0.765504	0.545455	0.454545
895070533	300	100400	0.220703	0.779297	0.55123	0.44877
895070533	300	100401	0.19305	0.80695	0.570539	0.429461
895070533	300	100402	0.236443	0.763557	0.586271	0.413729
895070533	300	100403	0.255533	0.744467	0.612326	0.387674
895070533	300	100404	0.267635	0.732365	0.611969	0.388031
895070533	300	100405	0.264344	0.735656	0.607422	0.392578
895070533	300	100406	0.270217	0.729783	0.606491	0.393509
895070533	300	100407	0.28125	0.71875	0.604508	0.395492
895070533	300	100408	0.278978	0.721022	0.604888	0.395112
895070533	300	100409	0.296935	0.703065	0.631799	0.368201
895070533	300	100410	0.323944	0.676056	0.624254	0.375746
895070533	300	100411	0.349206	0.650794	0.606855	0.393145
895070533	300	100412	0.341772	0.658228	0.619772	0.380228
895070533	300	100413	0.34585	0.65415	0.605263	0.394737
895070533	300	100414	0.39165	0.60835	0.647887	0.352113
895070533	300	100415	0.389899	0.610101	0.633663	0.366337
895070533	300	100416	0.430862	0.569138	0.652695	0.347305
895070533	300	100417	0.416834	0.583166	0.612774	0.387226
895070533	300	100418	0.448819	0.551181	0.626016	0.373984
895070533	300	100419	0.409804	0.590196	0.634694	0.365306
895070533	300	100420	0.418288	0.581712	0.63786	0.36214
895070533	300	100421	0.434	0.566	0.626	0.374
895070533	300	100422	0.416503	0.583497	0.602851	0.397149
895070533	300	100423	0.406308	0.593692	0.603037	0.396963
895070533	300	100424	0.437238	0.562762	0.576628	0.423372
895070533	300	100425	0.469083	0.530917	0.561205	0.438795
895070533	300	100426	0.469548	0.530452	0.558045	0.441955
895070533	300	100427	0.481188	0.518812	0.589899	0.410101
895070533	300	100428	0.465116	0.534884	0.603306	0.396694
895070533	300	100429	0.498938	0.501062	0.599244	0.400756
895070533	300	100430	0.486328	0.513672	0.610656	0.389344
895070533	300	100431	0.480695	0.519305	0.639004	0.360996
895070533	300	100432	0.512048	0.487952	0.653386	0.346614
895070533	300	100433	0.514056	0.485944	0.64741	0.35259
895070533	300	100434	0.492218	0.507782	0.648148	0.351852
895070533	300	100435	0.491701	0.508299	0.635135	0.364865
895070533	300	100436	0.464968	0.535032	0.676749	0.323251
